"SSN","Country","Site","Region","Cluster","Plot","SiteID","Depth","Longitude","Latitude","Altitude","Date","Total_C","CORG","CINORG","pH","Clay_8um","Alox","Feox","LandCover","PlotCultMgd","GPP","KG_p_name","KG_p_code","KG_f_name","KG_f_code","KG_p_group","KG_f_group","MAT","MAP","PET","Delta14C","TurnoverTime","Zones","F14C","F14C_err","Delta14C_err","Delta13C","SSN.XRPD","Quartz","Erosion","Clay_1_1","Clay_2_1","Amorphous","Pedogenic_Oxides","Feldspars","Mox"
"icr006492","Tanzania","Pandambili","East Africa",3,1,"Pandambili_3_1","Topsoil",36.4405,-6.06394,0,"15-02-10",0.982,0.9816,0,6.78,9.9,0.187155931,0.120491204,"Forest","no",2.395609299,"Tropical, savannah","Aw","Arid, steppe, hot","BSh","Tropical (seasonal)","Arid",21.7666666110357,585,1787,63.5,94,"SHZone12",1.0725,0.0021,2.1,-23.35,"icr006492",62.268,"no",3.7457,0,0,3.8285,26.9644,0.247401533
"icr006493","Tanzania","Pandambili","East Africa",3,1,"Pandambili_3_1","Subsoil",36.4405,-6.06394,0,"15-02-10",0.56,0.5596,0,6.09,44.447,0.256009348,0.225225451,"Forest","no",2.395609299,"Tropical, savannah","Aw","Arid, steppe, hot","BSh","Tropical (seasonal)","Arid",21.7666666110357,585,1787,-28.4,434,"SHZone12",0.9799,0.0035,3.5,-22.67,"icr006493",78.6313,"no",0,0,0,0,16.5372,0.3686220735
"icr006530","Tanzania","Pandambili","East Africa",5,1,"Pandambili_5_1","Topsoil",36.4577,-6.11749,1043,"27-02-10",0.713,0.7127,0,6.59,50.354,0.14955984,0.100245229,"Grassland","no",1.815515653,"Arid, steppe, hot","BSh","Arid, steppe, hot","BSh","Arid","Arid",22.0250000953674,566,1823,-12.8,343,"SHZone12",0.9956,0.0023,2.3,-18.59,"icr006530",49.4723,"no",16.3707,8.3572,2.6641,5.5349,8.7006,0.1996824545
"icr006531","Tanzania","Pandambili","East Africa",5,1,"Pandambili_5_1","Subsoil",36.4577,-6.11749,1043,"27-02-10",0.405,0.4047,0,5.98,57.801,0.206531827,0.119363603,"Grassland","no",1.815515653,"Arid, steppe, hot","BSh","Arid, steppe, hot","BSh","Arid","Arid",22.0250000953674,566,1823,-98.3,993,"SHZone12",0.9094,0.0032,3.2,-18,"icr006531",97.3451,"no",0,0,0,0,2.3088,0.2662136285
"icr006570","Tanzania","Pandambili","East Africa",7,2,"Pandambili_7_2","Topsoil",36.46458817,-6.06997013,1061,"18-02-10",0.625,0.6249,0,6.5,33.506,0.117037737,0.075753737,"Grassland","no",2.395609299,"Arid, steppe, hot","BSh","Arid, steppe, hot","BSh","Arid","Arid",22.0833334128062,576,1797,-0.3,280,"SHZone12",1.0082,0.0031,3.1,-16.55,"icr006570",88.5787,"no",2.3913,0,0,0,6.3644,0.1549146055
"icr006571","Tanzania","Pandambili","East Africa",7,2,"Pandambili_7_2","Subsoil",36.46458817,-6.06997013,1061,"18-02-10",0.481,0.4808,0,6.3,25.754,0.13244358,0.081523358,"Grassland","no",2.395609299,"Arid, steppe, hot","BSh","Arid, steppe, hot","BSh","Arid","Arid",22.0833334128062,576,1797,-62.2,678,"SHZone12",0.9458,0.003,3,-16.07,"icr006571",94.0818,"no",0,0,0,0,5.1901,0.173205259
"icr006744","Tanzania","Pandambili","East Africa",16,1,"Pandambili_16_1","Topsoil",36.5135,-6.05373,1159,"02-10-10",0.363,0.3625,0,5.25,9.225,0.102058778,0.04270977,"Grassland","no",2.083903986,"Arid, steppe, hot","BSh","Arid, steppe, hot","BSh","Arid","Arid",21.5208333333333,608,1752,16.2,213,"SHZone12",1.0249,0.0031,3.1,-20.75,"icr006744",72.1321,"no",0,0,0,1.8714,19.1264,0.123413663
"icr006745","Tanzania","Pandambili","East Africa",16,1,"Pandambili_16_1","Subsoil",36.5135,-6.05373,1159,"02-10-10",0.28,0.2802,0,4.98,22.653,0.130216265,0.055365995,"Grassland","no",2.083903986,"Arid, steppe, hot","BSh","Arid, steppe, hot","BSh","Arid","Arid",21.5208333333333,608,1752,-68.1,726,"SHZone12",0.9399,0.0031,3.1,-22.03,"icr006745",74.9965,"no",3.7122,0,0,0,18.0793,0.1578992625
"icr020848","Tanzania","Kidatu","East Africa",1,1,"Kidatu_1_1","Topsoil",37.26938248,-8.07403278,295,"03-10-10",0.561,0.5612,0,5.71,12.535,0.024682231,0.057851722,"Other","no",3.25532059,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",25.0749999682109,1423,1667,63.8,94,"SHZone12",1.0728,0.0031,3.1,-15.83,"icr020848",81.0494,"no",2.3587,0,4.9014,0,5.7076,0.053608092
"icr020849","Tanzania","Kidatu","East Africa",1,1,"Kidatu_1_1","Subsoil",37.26938248,-8.07403278,295,"03-10-10",0.205,0.2053,0,5.28,8.718,0.014395112,0.021550428,"Other","no",3.25532059,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",25.0749999682109,1423,1667,-58.5,649,"SHZone12",0.9495,0.0056,5.6,NA,"icr020849",90.0549,"no",0,0,5.37,0,4.5752,0.025170326
"icr020888","Tanzania","Kidatu","East Africa",3,1,"Kidatu_3_1","Topsoil",37.27035141,-8.02105045,300,"05-10-10",0.875,0.8749,0,5.12,24.936,0.08847275,0.115812452,"Grassland","no",3.25532059,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",25.050000111262,1433,1673,45.7,128,"SHZone12",1.0546,0.0019,1.9,-14.53,"icr020888",76.9147,"no",6.1629,0,0,0,12.8929,0.146378976
"icr020889","Tanzania","Kidatu","East Africa",3,1,"Kidatu_3_1","Subsoil",37.27035141,-8.02105045,300,"05-10-10",0.458,0.4584,0,4.74,42.876,0.185904173,0.16348131,"Grassland","no",3.25532059,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",25.050000111262,1433,1673,-22.1,396,"SHZone12",0.9862,0.0025,2.5,-15.64,"icr020889",70.8846,"no",13.4637,0,0,2.9452,8.9404,0.267644828
"icr020908","Tanzania","Kidatu","East Africa",4,1,"Kidatu_4_1","Topsoil",37.27236938,-8.00080681,311,"06-10-10",1.151,1.151,0,6.39,32.963,0.096941028,0.066605823,"Other","no",3.25532059,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",25.0875000953674,1428,1677,72.5,80,"SHZone12",1.0816,0.002,2,-19.3515,"icr020908",51.7087,"no",12.5649,0,0,5.231,28.2259,0.1302439395
"icr020909","Tanzania","Kidatu","East Africa",4,1,"Kidatu_4_1","Subsoil",37.27236938,-8.00080681,311,"06-10-10",0.421,0.4207,0,6.09,37.694,0.234441356,0.090924366,"Other","no",3.25532059,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",25.0875000953674,1428,1677,-41.6,523,"SHZone12",0.9665,0.0027,2.7,-18.73,"icr020909",50.5084,"no",13.8119,0,0,5.9922,27.6444,0.279903539
"icr020970","Tanzania","Kidatu","East Africa",7,3,"Kidatu_7_3","Topsoil",37.29229736,-8.02381229,319,"10-10-10",1.075,1.075,0,6.62,23.15,0.070212205,0.058899318,"Other","no",3.25532059,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",25.0041666030884,1427,1665,90.4,58,"SHZone12",1.0997,0.002,2,-17.4855,"icr020970",37.8626,"no",3.7399,0,0,3.358,51.0483,0.099661864
"icr020971","Tanzania","Kidatu","East Africa",7,3,"Kidatu_7_3","Subsoil",37.29229736,-8.02381229,319,"10-10-10",0.303,0.3031,0,6.61,20.634,0.072110762,0.043745064,"Other","no",3.25532059,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",25.0041666030884,1427,1665,7.8,245,"SHZone12",1.0164,0.003,3,-18.72,"icr020971",41.5983,"no",0,0,0,4.4253,50.8292,0.093983294
"icr021063","Tanzania","Kidatu","East Africa",12,1,"Kidatu_12_1","Topsoil",37.31461716,-8.00514507,333,"16-10-10",1.134,1.134,0,6.49,19.668,0.1164983,0.0801756,"Other","no",3.25532059,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",24.954166730245,1432,1663,90.6,58,"SHZone12",1.0998,0.0018,1.8,-18.2695,"icr021063",73.0485,"no",6.2384,0,1.7199,4.9885,11.6004,0.1565861
"icr021064","Tanzania","Kidatu","East Africa",12,1,"Kidatu_12_1","Subsoil",37.31461716,-8.00514507,333,"16-10-10",0.425,0.4248,0,6.69,21.287,0.0528969,0.0410708,"Other","no",3.25532059,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",24.954166730245,1432,1663,28.7,172,"SHZone12",1.0375,0.0028,2.8,-20.14,"icr021064",82.6213,"no",3.9831,0,1.2551,3.8438,8.129,0.0734323
"icr021103","Tanzania","Kidatu","East Africa",14,1,"Kidatu_14_1","Topsoil",37.33369827,-8.04930496,325,"18-10-10",0.573,0.5731,0,5.75,15.71,0.0392506,0.0411586,"Other","no",3.095562389,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",25.0749999682109,1403,1667,49,121,"SHZone12",1.0579,0.0025,2.5,-15.75,"icr021103",92.0695,"no",0,0,0,0,6.1729,0.0598299
"icr021104","Tanzania","Kidatu","East Africa",14,1,"Kidatu_14_1","Subsoil",37.33369827,-8.04930496,325,"18-10-10",0.249,0.2485,0,5.27,19.024,0.0861361,0.0448623,"Other","no",3.095562389,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",25.0749999682109,1403,1667,-3.6,296,"SHZone12",1.0049,0.0056,5.6,NA,"icr021104",89.6325,"no",0,0,0,0,7.9024,0.10856725
"icr024956","Tanzania","Itende","East Africa",6,1,"Itende_6_1","Topsoil",34.19247818,-6.91006517,1243,"24-11-10",0.65,0.6501,0,6.35,28.932,0.1292797,0.0520252,"Other","no",3.157831799,"Arid, steppe, hot","BSh","Arid, steppe, hot","BSh","Arid","Arid",21.9416666030884,632,1978,44.7,130,"SHZone12",1.0536,0.0025,2.5,-20.93,"icr024956",67.6782,"no",7.2113,0,0,3.8744,20.541,0.1552923
"icr024957","Tanzania","Itende","East Africa",6,1,"Itende_6_1","Subsoil",34.19247818,-6.91006517,1243,"24-11-10",0.344,0.3435,0,5.58,29.207,0.1862617,0.0666207,"Other","no",3.157831799,"Arid, steppe, hot","BSh","Arid, steppe, hot","BSh","Arid","Arid",21.9416666030884,632,1978,-40.3,514,"SHZone12",0.9678,0.0025,2.5,-22.6,"icr024957",61.2077,"no",11.46,0,0,6.333,18.7594,0.21957205
"icr024976","Tanzania","Itende","East Africa",7,2,"Itende_7_2","Topsoil",34.19307327,-6.87918282,1223,"25-11-10",0.703,0.7032,0,6.48,15.384,0.0551835,0.0231651,"Other","no",3.157831799,"Arid, steppe, hot","BSh","Arid, steppe, hot","BSh","Arid","Arid",21.9875000317891,629,1980,66.1,90,"SHZone12",1.0751,0.0021,2.1,-21.4945,"icr024976",93.4142,"yes",0,0,0,0,2.8531,0.06676605
"icr024977","Tanzania","Itende","East Africa",7,2,"Itende_7_2","Subsoil",34.19307327,-6.87918282,1223,"25-11-10",0.321,0.3214,0,6.12,14.406,0.062896,0.0264015,"Other","no",3.157831799,"Arid, steppe, hot","BSh","Arid, steppe, hot","BSh","Arid","Arid",21.9875000317891,629,1980,-6.1,308,"SHZone12",1.0024,0.0026,2.6,-21.78,"icr024977",89.8678,"yes",2.5591,0,0,0,3.1674,0.07609675
"icr024994","Tanzania","Itende","East Africa",8,3,"Itende_8_3","Topsoil",34.19452667,-6.859828,1275,"25-11-10",0.65,0.65,0,6.3,26.862,0.101389,0.0393158,"Other","no",3.157831799,"Tropical, savannah","Aw","Arid, steppe, hot","BSh","Tropical (seasonal)","Arid",21.8249999682109,633,1968,13.7,222,"SHZone12",1.0223,0.0028,2.8,-21.64,"icr024994",59.3336,"yes",8.557,0,0,6.0728,21.5773,0.1210469
"icr024995","Tanzania","Itende","East Africa",8,3,"Itende_8_3","Subsoil",34.19452667,-6.859828,1275,"25-11-10",0.326,0.326,0,5.82,30.164,0.1459139,0.0573761,"Other","no",3.157831799,"Tropical, savannah","Aw","Arid, steppe, hot","BSh","Tropical (seasonal)","Arid",21.8249999682109,633,1968,-40.5,515,"SHZone12",0.9677,0.0026,2.6,-21.82,"icr024995",63.6929,"yes",11.2915,0,0,4.286,16.0184,0.17460195
"icr030051","Ethiopia","Dambidolo","East Africa",2,6,"Dambidolo_2_6","Topsoil",34.98833084,8.60195828,1478,"02-04-11",5.076,5.076,0,6.33,77.863,0.813775536,1.174700553,"Cropland","yes",4.194594882,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",21.1499998966853,1357,1736,43,140,"NHZone3",1.0519,0.0023,2.3,-14.59,"icr030043",2.6398,"yes",31.836,12.3462,4.8194,20.5502,2.7907,1.4011258125
"icr030052","Ethiopia","Dambidolo","East Africa",2,6,"Dambidolo_2_6","Subsoil",34.98833084,8.60195828,1478,"02-04-11",3.413,3.413,0,5.95,79.783,0.3313853,0.4372329,"Cropland","yes",4.194594882,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",21.1499998966853,1357,1736,-28.9,444,"NHZone3",0.9793,0.0017,1.7,-13.4,"icr030044",0.404,"yes",35.5287,10.76,1.1706,23.6565,2.5855,0.55000175
"icr030097","Ethiopia","Dambidolo","East Africa",4,8,"Dambidolo_4_8","Topsoil",34.98268509,8.65556717,1491,"05-04-11",3.534,3.534,0,5.89,87.186,0.431061805,1.139784288,"Cropland","yes",4.194594882,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",21.0541667540868,1354,1738,4.9,264,"NHZone3",1.0134,0.0019,1.9,-14.78,"icr030083",4.668,"yes",36.2912,9.3278,0,21.9523,3.737,1.000953949
"icr030098","Ethiopia","Dambidolo","East Africa",4,8,"Dambidolo_4_8","Subsoil",34.98268509,8.65556717,1491,"05-04-11",2.234,2.234,0,5.42,93.877,0.54301379,1.129354762,"Cropland","yes",4.194594882,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",21.0541667540868,1354,1738,-100.3,1016,"NHZone3",0.9074,0.0016,1.6,-14.29,"icr030084",2.5981,"yes",42.1923,9.2815,0,27.1814,2.6986,1.107691171
"icr030113","Ethiopia","Dambidolo","East Africa",5,7,"Dambidolo_5_7","Topsoil",35.00011444,8.58142185,1182,"22-03-11",1.643,1.643,0,6.74,46.932,0.0642954,0.1315456,"Other","no",4.054261965,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",22.479166785876,1306,1784,-16,368,"NHZone3",0.9923,0.0017,1.7,-18.43,"icr030103",21.2556,"yes",4.5564,5.239,4.6061,5.1528,24.7498,0.1300682
"icr030114","Ethiopia","Dambidolo","East Africa",5,7,"Dambidolo_5_7","Subsoil",35.00011444,8.58142185,1182,"22-03-11",2.948,2.948,0,6.15,47.468,0.0577521,0.1295764,"Other","no",4.054261965,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",22.479166785876,1306,1784,52.8,119,"NHZone3",1.0617,0.0018,1.8,-19.38,"icr030104",24.9708,"yes",3.5399,4.3888,4.2895,4.5026,24.0631,0.1225403
"icr030123","Ethiopia","Dambidolo","East Africa",6,2,"Dambidolo_6_2","Topsoil",35.00059891,8.59928799,1379,"02-04-11",1.846,1.846,0,6.44,46.084,0.177806372,0.224795056,"Cropland","yes",3.93082409,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",21.7166665792465,1345,1757,44,138,"NHZone3",1.0528,0.0018,1.8,-14.89,"icr030123",39.8483,"yes",11.2634,5.5497,3.1254,5.4931,18.6298,0.2902039
"icr030124","Ethiopia","Dambidolo","East Africa",6,2,"Dambidolo_6_2","Subsoil",35.00059891,8.59928799,1379,"02-04-11",1.198,1.198,0,5.85,46.31,0.1029911,0.0925169,"Cropland","yes",3.93082409,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",21.7166665792465,1345,1757,-14.2,358,"NHZone3",0.9942,0.0017,1.7,-13.75,"icr030124",40.513,"yes",12.3786,6.0472,2.7419,6.4777,21.3851,0.14924955
"icr030127","Ethiopia","Dambidolo","East Africa",6,5,"Dambidolo_6_5","Topsoil",34.99979401,8.59832192,1380,"02-04-11",3.866,3.866,0,6.48,76.985,0.1765092,0.1894527,"Cropland","yes",4.194594882,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",21.3999999364217,1351,1743,12.5,233,"NHZone3",1.0211,0.0021,2.1,-15.49,"icr030123",39.8483,"yes",11.2634,5.5497,3.1254,5.4931,18.6298,0.27123555
"icr030128","Ethiopia","Dambidolo","East Africa",6,5,"Dambidolo_6_5","Subsoil",34.99979401,8.59832192,1380,"02-04-11",2.346,2.346,0,6.24,76.015,0.187824,0.178213,"Cropland","yes",4.194594882,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",21.3999999364217,1351,1743,-41.6,529,"NHZone3",0.9665,0.0018,1.8,-15.24,"icr030124",40.513,"yes",12.3786,6.0472,2.7419,6.4777,21.3851,0.2769305
"icr030131","Ethiopia","Dambidolo","East Africa",6,7,"Dambidolo_6_7","Topsoil",35.00479126,8.60511303,1345,"02-04-11",2.775,2.775,0,6.85,62.024,0.0983233,0.1480675,"Cropland","yes",3.93082409,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",21.708333214124,1348,1758,26.5,185,"NHZone3",1.0352,0.0017,1.7,-14.43,"icr030123",39.8483,"yes",11.2634,5.5497,3.1254,5.4931,18.6298,0.17235705
"icr030132","Ethiopia","Dambidolo","East Africa",6,7,"Dambidolo_6_7","Subsoil",35.00479126,8.60511303,1345,"02-04-11",4.018,4.018,0,5.86,76.098,0.1441459,0.1592886,"Cropland","yes",3.93082409,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",21.708333214124,1348,1758,-63.1,691,"NHZone3",0.9448,0.002,2,-13.5,"icr030124",40.513,"yes",12.3786,6.0472,2.7419,6.4777,21.3851,0.2237902
"icr030133","Ethiopia","Dambidolo","East Africa",6,8,"Dambidolo_6_8","Topsoil",34.99936295,8.6012516,1400,"02-04-11",1.619,1.619,0,7.5,61.871,0.1435249,0.2091756,"Cropland","yes",4.194594882,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",21.4375000794729,1349,1746,38.4,151,"NHZone3",1.0472,0.002,2,-17.21,"icr030123",39.8483,"yes",11.2634,5.5497,3.1254,5.4931,18.6298,0.2481127
"icr030134","Ethiopia","Dambidolo","East Africa",6,8,"Dambidolo_6_8","Subsoil",34.99936295,8.6012516,1400,"02-04-11",2.155,2.155,0,7.31,74.666,0.089701,0.1342239,"Cropland","yes",4.194594882,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",21.4375000794729,1349,1746,-9.5,333,"NHZone3",0.9989,0.0019,1.9,-16.17,"icr030124",40.513,"yes",12.3786,6.0472,2.7419,6.4777,21.3851,0.15681295
"icr030137","Ethiopia","Dambidolo","East Africa",6,10,"Dambidolo_6_10","Topsoil",34.99982834,8.60101509,1400,"02-04-11",2.836,2.836,0,6.96,61.952,0.0971589,0.1574395,"Cropland","yes",4.194594882,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",21.4375000794729,1349,1746,7.1,255,"NHZone3",1.0157,0.0033,3.3,-14.76,"icr030123",39.8483,"no",11.2634,5.5497,3.1254,5.4931,18.6298,0.17587865
"icr030138","Ethiopia","Dambidolo","East Africa",6,10,"Dambidolo_6_10","Subsoil",34.99982834,8.60101509,1400,"02-04-11",1.895,1.895,0,6.14,74.787,0.1293328,0.1522624,"Cropland","yes",4.194594882,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",21.4375000794729,1349,1746,-41.7,530,"NHZone3",0.9664,0.0025,2.5,-13.81,"icr030124",40.513,"no",12.3786,6.0472,2.7419,6.4777,21.3851,0.205464
"icr030145","Ethiopia","Dambidolo","East Africa",7,2,"Dambidolo_7_2","Topsoil",35.00531006,8.62525272,1380,"05-04-11",4.369,4.369,0,6.08,86.746,0.2655546,0.4097371,"Cropland","yes",3.93082409,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",21.7083333333333,1341,1763,-11.6,344,"NHZone3",0.9968,0.0033,3.3,-12.51,"icr030143",27.9115,"yes",17.1867,12.3466,4.1439,12.8462,5.0562,0.47042315
"icr030146","Ethiopia","Dambidolo","East Africa",7,2,"Dambidolo_7_2","Subsoil",35.00531006,8.62525272,1380,"05-04-11",2.856,2.856,0,5.8,89.896,0.284844,0.3408566,"Cropland","yes",3.93082409,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",21.7083333333333,1341,1763,-110.2,1111,"NHZone3",0.8974,0.003,3,-12.7,"icr030144",33.289,"yes",19.0834,15.6515,2.826,13.9905,5.1516,0.4552723
"icr030176","Ethiopia","Dambidolo","East Africa",8,8,"Dambidolo_8_8","Topsoil",35.0014534,8.64603329,1363,"04-06-11",6.796,6.796,0,5.51,77.125,0.2267086,1.066458,"Cropland","yes",3.93082409,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",21.5666667222977,1349,1759,-21.5,399,"NHZone3",0.9868,0.0034,3.4,-12.15,"icr030163",2.671,"yes",21.0525,13.3104,9.9413,15.2071,5.4635,0.7599376
