"SSN","Country","Site","Cluster","Plot","Longitude","Latitude","F14C","F14C_err","Delta14C","Delta14C_err","Delta13C","Zones","TurnoverTime"
"icr030190","Ethiopia","Dambidolo",9,12,35.0256424,8.58047676,1.0628,0.0035,53.8,3.5,-12.44,"NHZone3",135
"icr030191","Ethiopia","Dambidolo",9,12,35.0256424,8.58047676,1.0298,0.0021,21.1,2.1,-11.71,"NHZone3",301
"icr030206","Ethiopia","Dambidolo",10,5,35.02694702,8.60710716,1.054,0.0023,45.2,2.3,-13.81,"NHZone3",163
"icr030207","Ethiopia","Dambidolo",10,5,35.02694702,8.60710716,0.9859,0.003,-22.4,3,-12.48,"NHZone3",1778
"icr030214","Ethiopia","Dambidolo",10,9,35.01977158,8.60314274,1.0079,0.0018,-0.6,1.8,-14.88,"NHZone3",649
"icr030215","Ethiopia","Dambidolo",10,9,35.01977158,8.60314274,0.9529,0.0018,-55.1,1.8,-14.2,"NHZone3",6474
"icr030268","Ethiopia","Dambidolo",13,6,35.0459137,8.57730293,1.0769,0.002,67.8,2,-16.6325,"NHZone3",101
"icr030269","Ethiopia","Dambidolo",13,6,35.0459137,8.57730293,1.0469,0.0019,38.1,1.9,-14.1795,"NHZone3",192
"icr030270","Ethiopia","Dambidolo",13,7,35.04312134,8.58223248,1.0289,0.0019,20.2,1.9,-13.65,"NHZone3",309
"icr030271","Ethiopia","Dambidolo",13,7,35.04312134,8.58223248,0.9382,0.0019,-69.7,1.9,-13.91,"NHZone3",6474
"icr030282","Ethiopia","Dambidolo",14,4,35.04640961,8.59956265,1.033,0.0022,24.3,2.2,-14.21,"NHZone3",275
"icr030283","Ethiopia","Dambidolo",14,4,35.04640961,8.59956265,0.9708,0.002,-37.4,2,-14.38,"NHZone3",3434
"icr030300","Ethiopia","Dambidolo",15,3,35.04849625,8.62188721,1.0071,0.0018,-1.4,1.8,-16.22,"NHZone3",672
"icr030301","Ethiopia","Dambidolo",15,3,35.04849625,8.62188721,0.9315,0.0018,-76.3,1.8,-14.42,"NHZone3",6474
"icr030301","Ethiopia","Dambidolo",15,3,35.04849625,8.62188721,0.9315,0.0018,-76.3,1.8,-14.42,"NHZone3",6474
"icr030323","Ethiopia","Dambidolo",16,5,35.04421616,8.64572334,1.0109,0.0019,2.4,1.9,-13.88,"NHZone3",574
"icr030324","Ethiopia","Dambidolo",16,5,35.04421616,8.64572334,1.0124,0.0019,3.9,1.9,-14.2,"NHZone3",541
"icr030330","Ethiopia","Dambidolo",16,9,35.04863358,8.64678001,1.0248,0.002,16.2,2,-11.99,"NHZone3",350
"icr030331","Ethiopia","Dambidolo",16,9,35.04863358,8.64678001,0.9384,0.0017,-69.5,1.7,-12.47,"NHZone3",6474
"icr033419","Kenya","Mbalambala",5,7,39.02086639,-0.155982,0.9826,0.0057,-25.7,5.7,NA,"SHZone12",2038
"icr033420","Kenya","Mbalambala",5,7,39.02086639,-0.155982,0.7647,0.0049,-241.7,5,NA,"SHZone12",6475
"icr033535","Kenya","Mbalambala",13,6,39.0616951,-0.15338799,0.9005,0.0053,-107.1,5.3,NA,"SHZone12",6475
"icr033536","Kenya","Mbalambala",13,6,39.0616951,-0.15338799,0.8349,0.005,-172.1,5,NA,"SHZone12",6475
"icr033592","Kenya","Mbalambala",16,8,39.06327438,-0.089757,1.0304,0.0018,21.7,1.8,-24.7275,"SHZone12",282
"icr033593","Kenya","Mbalambala",16,8,39.06327438,-0.089757,0.9362,0.0027,-71.7,2.7,-22.85,"SHZone12",6475
"icr033598","Kenya","Mbalambala",16,14,39.06158447,-0.086252,1.0426,0.002,33.8,2,-23.1965,"SHZone12",203
"icr033599","Kenya","Mbalambala",16,14,39.06158447,-0.086252,1.036,0.0018,27.2,1.8,-22.0435,"SHZone12",241
"icr033634","Ethiopia","Mega",2,14,38.2612915,4.17119789,1.0372,0.0022,28.4,2.2,-18.41,"NHZone3",245
"icr033635","Ethiopia","Mega",2,14,38.2612915,4.17119789,1.0637,0.0024,54.8,2.4,-18.41,"NHZone3",132
"icr033664","Ethiopia","Mega",4,6,38.26822662,4.2133522,0.8944,0.0016,-113.1,1.6,-13.7695,"NHZone3",6474
"icr033665","Ethiopia","Mega",4,6,38.26822662,4.2133522,0.7652,0.0015,-241.3,1.5,-11.2815,"NHZone3",6474
"icr033819","Ethiopia","Mega",12,5,38.3169632,4.21460199,0.8998,0.0018,-107.8,1.8,-12.9565,"NHZone3",6474
"icr033820","Ethiopia","Mega",12,5,38.3169632,4.21460199,0.7539,0.0016,-252.4,1.6,-11.5175,"NHZone3",6474
"icr037453","Mali","Finnkolo",3,1,-5.534058333,11.32941667,1.0128,0.002,4.3,2,-20.21,"NHZone3",532
"icr037454","Mali","Finnkolo",3,1,-5.534058333,11.32941667,0.9549,0.0025,-53.2,2.5,-18.78,"NHZone3",6356
"icr037531","Mali","Finnkolo",7,1,-5.518538333,11.32956833,0.8905,0.003,-117,3,-19.76,"NHZone3",6474
"icr037532","Mali","Finnkolo",7,1,-5.518538333,11.32956833,0.786,0.0048,-220.7,4.8,NA,"NHZone3",6474
"icr037574","Mali","Finnkolo",9,5,-5.486493333,11.28301667,1.025,0.0031,16.4,3.1,-20.4,"NHZone3",348
"icr037574","Mali","Finnkolo",9,5,-5.486493333,11.28301667,1.025,0.0031,16.4,3.1,-20.4,"NHZone3",348
"icr037575","Mali","Finnkolo",9,5,-5.486493333,11.28301667,0.9773,0.0056,-31,5.6,NA,"NHZone3",2619
"icr037927","Cameroon","Bana",10,1,10.26777667,5.25545667,1.0636,0.0021,54.6,2.1,-20.44,"NHZone3",133
"icr037928","Cameroon","Bana",10,1,10.26777667,5.25545667,0.9857,0.0019,-22.6,1.9,-17.56,"NHZone3",1791
"icr037986","Cameroon","Bana",13,1,10.28871167,5.233795,1.0329,0.002,24.2,2,-19.88,"NHZone3",276
"icr037987","Cameroon","Bana",13,1,10.28871167,5.233795,0.9601,0.0018,-48,1.8,-16.68,"NHZone3",5218
"icr037987","Cameroon","Bana",13,1,10.28871167,5.233795,0.9601,0.0018,-48,1.8,-16.68,"NHZone3",5218
"icr038147","Ethiopia","Kutaber",3,8,39.57326889,11.30547237,1.0001,0.0021,-8.3,2.1,-16.32,"NHZone3",912
"icr038148","Ethiopia","Kutaber",3,8,39.57326889,11.30547237,0.9575,0.0018,-50.6,1.8,-15.77,"NHZone3",5763
"icr038218","Ethiopia","Kutaber",7,6,39.59435272,11.30890274,1.0307,0.0019,22,1.9,-13.56,"NHZone3",293
"icr038219","Ethiopia","Kutaber",7,6,39.59435272,11.30890274,0.8878,0.0018,-119.7,1.8,-14.07,"NHZone3",6474
"icr038227","Ethiopia","Kutaber",8,1,39.59209442,11.32841492,1.0271,0.002,18.4,2,-19.21,"NHZone3",327
"icr038228","Ethiopia","Kutaber",8,1,39.59209442,11.32841492,0.9344,0.0025,-73.4,2.5,-19.99,"NHZone3",6474
"icr038242","Ethiopia","Kutaber",8,10,39.59540176,11.33280659,1.0328,0.0017,24.1,1.7,-19.61,"NHZone3",276
"icr038243","Ethiopia","Kutaber",8,10,39.59540176,11.33280659,0.9804,0.0019,-27.8,1.9,-19.06,"NHZone3",2274
"icr038299","Ethiopia","Kutaber",12,1,39.61781311,11.33362484,0.9003,0.002,-107.3,2,-18.23,"NHZone3",6474
"icr038300","Ethiopia","Kutaber",12,1,39.61781311,11.33362484,0.5821,0.0023,-422.8,2.2,-21.87,"NHZone3",6474
"icr038302","Ethiopia","Kutaber",12,6,39.61585617,11.33428001,0.9421,0.0025,-65.8,2.5,-16.07,"NHZone3",6474
"icr038303","Ethiopia","Kutaber",12,6,39.61585617,11.33428001,0.9195,0.0026,-88.2,2.6,-18.1,"NHZone3",6474
"icr041679","Kenya","Marafa",3,1,39.51435852,-2.62334704,1.0167,0.0019,8.1,1.9,-17.32,"SHZone12",443
"icr041680","Kenya","Marafa",3,1,39.51435852,-2.62334704,0.9218,0.0024,-85.9,2.4,-16.72,"SHZone12",6475
"icr041789","Kenya","Marafa",8,6,39.53932953,-2.59726691,0.9588,0.0025,-49.3,2.5,-20.63,"SHZone12",5462
"icr041790","Kenya","Marafa",8,6,39.53932953,-2.59726691,0.8942,0.0022,-113.4,2.2,-19.14,"SHZone12",6475
"icr041898","Kenya","Marafa",14,2,39.57897949,-2.64556789,0.9159,0.0025,-91.8,2.5,-17.9,"SHZone12",6475
"icr041899","Kenya","Marafa",14,2,39.57897949,-2.64556789,0.8926,0.0026,-114.9,2.6,-20.01,"SHZone12",6475
"icr041992","Kenya","Morijo",1,4,35.7769928,-1.75783205,0.9981,0.0019,-10.4,1.9,-13.79,"SHZone12",979
"icr041993","Kenya","Morijo",1,4,35.7769928,-1.75783205,0.8637,0.0018,-143.6,1.8,-10.36,"SHZone12",6475
"icr042024","Kenya","Morijo",3,1,35.78072357,-1.70595801,1.0145,0.002,6,2,-11.9,"SHZone12",478
"icr042025","Kenya","Morijo",3,1,35.78072357,-1.70595801,0.9559,0.0018,-52.1,1.8,-11.1,"SHZone12",6076
"icr042025","Kenya","Morijo",3,1,35.78072357,-1.70595801,0.9559,0.0018,-52.1,1.8,-11.1,"SHZone12",6076
"icr042074","Kenya","Morijo",5,9,35.79964447,-1.75745797,1.0348,0.0019,26.1,1.9,-12.58,"SHZone12",249
"icr042075","Kenya","Morijo",5,9,35.79964447,-1.75745797,0.9829,0.002,-25.4,2,-11.82,"SHZone12",2015
"icr042082","Kenya","Morijo",6,3,35.80267715,-1.72688997,0.8878,0.0016,-119.7,1.6,-13.28,"SHZone12",6475
"icr042083","Kenya","Morijo",6,3,35.80267715,-1.72688997,0.8148,0.0015,-192.1,1.5,-12.75,"SHZone12",6475
"icr042108","Kenya","Morijo",7,7,35.79957581,-1.70866501,1.0281,0.0017,19.4,1.7,-13.79,"SHZone12",302
"icr042109","Kenya","Morijo",7,7,35.79957581,-1.70866501,0.9584,0.0019,-49.7,1.9,-13.22,"SHZone12",5546
"icr042113","Kenya","Morijo",7,10,35.80049515,-1.70868194,1.0346,0.0019,25.9,1.9,-17.45,"SHZone12",250
"icr042114","Kenya","Morijo",7,10,35.80049515,-1.70868194,1.0221,0.0019,13.5,1.9,-15.95,"SHZone12",366
"icr042117","Kenya","Morijo",8,2,35.80121613,-1.67825699,1.0326,0.0018,23.9,1.8,-11.58,"SHZone12",265
"icr042118","Kenya","Morijo",8,2,35.80121613,-1.67825699,0.9388,0.0016,-69.1,1.6,-10.39,"SHZone12",6475
"icr042141","Kenya","Morijo",9,5,35.8225708,-1.75320995,1.0712,0.0021,62.1,2.1,-20.32,"SHZone12",108
"icr042142","Kenya","Morijo",9,5,35.8225708,-1.75320995,1.0812,0.0021,72.1,2.1,-20.76,"SHZone12",88
"icr042191","Kenya","Morijo",12,2,35.82104874,-1.68677199,1.0735,0.002,64.4,2,-20.8,"SHZone12",103
"icr042192","Kenya","Morijo",12,2,35.82104874,-1.68677199,0.9783,0.0018,-29.9,1.8,-19.56,"SHZone12",2471
"icr042204","Kenya","Morijo",12,9,35.81818008,-1.68444002,1.0729,0.0023,63.8,2.3,-20.85,"SHZone12",104
"icr042204","Kenya","Morijo",12,9,35.81818008,-1.68444002,1.0729,0.0023,63.8,2.3,-20.85,"SHZone12",104
"icr042205","Kenya","Morijo",12,9,35.81818008,-1.68444002,0.956,0.0019,-52.1,1.9,-18.38,"SHZone12",6076
"icr042205","Kenya","Morijo",12,9,35.81818008,-1.68444002,0.956,0.0019,-52.1,1.9,-18.38,"SHZone12",6076
"icr042239","Kenya","Morijo",14,7,35.84237671,-1.73143196,1.0904,0.002,81.2,2,-23.4895,"SHZone12",73
"icr042240","Kenya","Morijo",14,7,35.84237671,-1.73143196,1.055,0.0019,46.1,1.9,-22.1235,"SHZone12",151
"icr042241","Kenya","Morijo",14,8,35.84387589,-1.733603,1.0805,0.0019,71.4,1.9,-18.4085,"SHZone12",89
"icr042242","Kenya","Morijo",14,8,35.84387589,-1.733603,0.9502,0.0018,-57.8,1.8,-16.1115,"SHZone12",6475
"icr042245","Kenya","Morijo",14,10,35.83790207,-1.730443,0.5539,0.0014,-450.8,1.4,-6.15,"SHZone12",6475
"icr042246","Kenya","Morijo",14,10,35.83790207,-1.730443,0.971,0.002,-37.2,2,-11.48,"SHZone12",3380
"icr042265","Kenya","Morijo",16,1,35.8539772,-1.68765497,1.0443,0.0021,35.5,2.1,-14.31,"SHZone12",194
"icr042266","Kenya","Morijo",16,1,35.8539772,-1.68765497,0.5756,0.002,-429.2,2,-4.58,"SHZone12",6475
"icr042267","Kenya","Morijo",16,2,35.85451508,-1.68508506,1.0748,0.0019,65.7,1.9,-18.72,"SHZone12",100
"icr042268","Kenya","Morijo",16,2,35.85451508,-1.68508506,0.9766,0.0026,-31.6,2.6,-16.79,"SHZone12",2663
"icr042280","Kenya","Morijo",16,9,35.848,-1.68759,1.0779,0.0035,68.8,3.5,-12.79,"SHZone12",94
"icr042281","Kenya","Morijo",16,9,35.848,-1.68759,0.9402,0.0018,-67.7,1.8,-11.04,"SHZone12",6475
"icr042282","Kenya","Morijo",16,10,35.8489,-1.68592,1.0739,0.0022,64.8,2.2,-15.51,"SHZone12",102
"icr042283","Kenya","Morijo",16,10,35.8489,-1.68592,0.9719,0.0018,-36.3,1.8,-16.25,"SHZone12",3256
"icr048664","SAfrica","Madadeni",13,2,30.0861,-27.6154,1.0358,0.002,27.1,2,-11.51,"SHZone3",251
"icr048665","SAfrica","Madadeni",13,2,30.0861,-27.6154,0.9008,0.0017,-106.7,1.7,-12.19,"SHZone3",6475
"icr048837","SAfrica","Hopetown",8,2,23.933,-29.7781,0.8925,0.0025,-115,2.5,-17.59,"SHZone3",6475
"icr048837","SAfrica","Hopetown",8,2,23.933,-29.7781,0.8925,0.0025,-115,2.5,-17.59,"SHZone3",6475
"icr048838","SAfrica","Hopetown",8,2,23.933,-29.7781,0.8544,0.0025,-152.8,2.5,-18.62,"SHZone3",6475
"icr050214","Mozambique","Martinho",5,1,38.96290833,-16.17429833,1.0073,0.0023,-1.2,2.3,-15.05,"SHZone3",659
"icr050215","Mozambique","Martinho",5,1,38.96290833,-16.17429833,0.9325,0.0026,-75.4,2.6,-16.59,"SHZone3",6475
"icr050354","Mozambique","Martinho",12,1,38.98612833,-16.11628667,0.9385,0.0054,-69.4,5.4,NA,"SHZone3",6475
"icr050355","Mozambique","Martinho",12,1,38.98612833,-16.11628667,1.0256,0.0032,17,3.2,-19.64,"SHZone3",338
"icr054175","Uganda","Namasuba",1,7,32.26567841,0.49293199,1.0399,0.0022,31.1,2.2,-19.41,"NHZone3",229
"icr054176","Uganda","Namasuba",1,7,32.26567841,0.49293199,0.8672,0.002,-140.1,2,-19.53,"NHZone3",6474
"icr054181","Uganda","Namasuba",1,10,32.26797867,0.49572,1.0231,0.002,14.5,2,-18.51,"NHZone3",370
"icr054182","Uganda","Namasuba",1,10,32.26797867,0.49572,0.9151,0.0026,-92.7,2.6,-18.37,"NHZone3",6474
"icr054188","Uganda","Namasuba",2,4,32.26695633,0.51490003,1.0559,0.0019,47,1.9,-19.36,"NHZone3",157
"icr054189","Uganda","Namasuba",2,4,32.26695633,0.51490003,1.0381,0.002,29.3,2,-18.36,"NHZone3",240
"icr054190","Uganda","Namasuba",2,5,32.27025223,0.51411301,1.0389,0.002,30.1,2,-17.39,"NHZone3",234
"icr054191","Uganda","Namasuba",2,5,32.27025223,0.51411301,0.996,0.0019,-12.4,1.9,-17.42,"NHZone3",1106
"icr054201","Uganda","Namasuba",3,1,32.26804352,0.53347302,1.0236,0.0018,15,1.8,-16.96,"NHZone3",364
"icr054202","Uganda","Namasuba",3,1,32.26804352,0.53347302,0.9324,0.0017,-75.5,1.7,-16.69,"NHZone3",6474
"icr054234","Uganda","Namasuba",4,9,32.26136017,0.55520201,0.9983,0.0024,-10.1,2.4,-18.93,"NHZone3",992
"icr054235","Uganda","Namasuba",4,9,32.26136017,0.55520201,0.9515,0.0018,-56.6,1.8,-17,"NHZone3",6474
"icr054256","Uganda","Namasuba",5,10,32.28332138,0.49879301,1.0728,0.0021,63.7,2.1,-21.43,"NHZone3",110
"icr054257","Uganda","Namasuba",5,10,32.28332138,0.49879301,0.9667,0.0018,-41.5,1.8,-20.17,"NHZone3",4050
"icr054269","Uganda","Namasuba",6,7,32.28722,0.50801003,1.0036,0.0018,-4.9,1.8,-20.73,"NHZone3",781
"icr054270","Uganda","Namasuba",6,7,32.28722,0.50801003,0.9334,0.0019,-74.4,1.9,-19.76,"NHZone3",6474
"icr054285","Uganda","Namasuba",7,8,32.28696823,0.54031301,1.0546,0.002,45.7,2,-22.79,"NHZone3",161
"icr054286","Uganda","Namasuba",7,8,32.28696823,0.54031301,0.975,0.0019,-33.2,1.9,-20.66,"NHZone3",2878
"icr054287","Uganda","Namasuba",7,9,32.29005432,0.53937298,1.0801,0.002,71,2,-17.58,"NHZone3",95
"icr054287","Uganda","Namasuba",7,9,32.29005432,0.53937298,1.0801,0.002,71,2,-17.58,"NHZone3",95
"icr054288","Uganda","Namasuba",7,9,32.29005432,0.53937298,0.9894,0.002,-18.9,2,-17.65,"NHZone3",1508
"icr054301","Uganda","Namasuba",8,5,32.29267502,0.565265,1.0511,0.0022,42.2,2.2,-24.39,"NHZone3",174
"icr054302","Uganda","Namasuba",8,5,32.29267502,0.565265,0.8742,0.0023,-133.2,2.3,-23.18,"NHZone3",6474
"icr054307","Uganda","Namasuba",8,8,32.28472519,0.56025702,1.0326,0.0018,23.9,1.8,-19.97,"NHZone3",278
"icr054308","Uganda","Namasuba",8,8,32.28472519,0.56025702,1.0115,0.0019,3,1.9,-19.2,"NHZone3",560
"icr054309","Uganda","Namasuba",8,9,32.28888702,0.55812198,1.0801,0.002,71,2,-22.75,"NHZone3",95
"icr054309","Uganda","Namasuba",8,9,32.28888702,0.55812198,1.0801,0.002,71,2,-22.75,"NHZone3",95
"icr054310","Uganda","Namasuba",8,9,32.28888702,0.55812198,0.9618,0.0023,-46.3,2.3,-19.83,"NHZone3",4888
"icr054315","Uganda","Namasuba",9,2,32.30392838,0.49693999,1.0933,0.0024,84.1,2.4,-20.3,"NHZone3",73
"icr054316","Uganda","Namasuba",9,2,32.30392838,0.49693999,1.0502,0.0021,41.3,2.1,-19.74,"NHZone3",178
"icr054322","Uganda","Namasuba",9,7,32.3050766,0.49724999,1.0317,0.0033,23,3.3,-22.31,"NHZone3",285
"icr054323","Uganda","Namasuba",9,7,32.3050766,0.49724999,1.0249,0.002,16.3,2,-21.2,"NHZone3",349
"icr054363","Uganda","Namasuba",12,3,32.30693817,0.55994499,1.0015,0.002,-6.9,2,-15.84,"NHZone3",855
"icr054364","Uganda","Namasuba",12,3,32.30693817,0.55994499,0.8541,0.0017,-153.1,1.7,-17.5,"NHZone3",6474
"icr054372","Uganda","Namasuba",12,10,32.30748367,0.55493498,1.0415,0.0034,32.7,3.4,-19.54,"NHZone3",219
"icr054373","Uganda","Namasuba",12,10,32.30748367,0.55493498,0.9723,0.0019,-35.9,1.9,-15.27,"NHZone3",3226
"icr054387","Uganda","Namasuba",14,1,32.33942032,0.51074201,1.0119,0.0022,3.4,2.2,-17.05,"NHZone3",551
"icr054388","Uganda","Namasuba",14,1,32.33942032,0.51074201,0.9321,0.0018,-75.7,1.8,-16.46,"NHZone3",6474
"icr054395","Uganda","Namasuba",14,5,32.33616638,0.50930202,1.059,0.0017,50.1,1.7,-22.66,"NHZone3",146
"icr054396","Uganda","Namasuba",14,5,32.33616638,0.50930202,0.9816,0.0018,-26.6,1.8,-21.93,"NHZone3",2155
"icr054402","Uganda","Namasuba",14,9,32.33401489,0.51394999,1.0558,0.0022,46.8,2.2,-20.47,"NHZone3",157
"icr054403","Uganda","Namasuba",14,9,32.33401489,0.51394999,0.9499,0.003,-58.1,3,-19.25,"NHZone3",6474
