"SSN","Site","Cluster","Plot","Depth","Longitude","Latitude","KG_p_name","KG_p_code","KG_f_name","KG_f_code","KG_p_group","KG_f_group","MAT","MAP","PET"
"icr020908","Kidatu",4,1,"Topsoil",37.27236938,-8.00080681,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",25.0875000953674,1428,1677
"icr020909","Kidatu",4,1,"Subsoil",37.27236938,-8.00080681,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",25.0875000953674,1428,1677
"icr020970","Kidatu",7,3,"Topsoil",37.29229736,-8.02381229,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",25.0041666030884,1427,1665
"icr020971","Kidatu",7,3,"Subsoil",37.29229736,-8.02381229,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",25.0041666030884,1427,1665
"icr021063","Kidatu",12,1,"Topsoil",37.31461716,-8.00514507,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",24.954166730245,1432,1663
"icr021064","Kidatu",12,1,"Subsoil",37.31461716,-8.00514507,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",24.954166730245,1432,1663
"icr021103","Kidatu",14,1,"Topsoil",37.33369827,-8.04930496,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",25.0749999682109,1403,1667
"icr021104","Kidatu",14,1,"Subsoil",37.33369827,-8.04930496,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",25.0749999682109,1403,1667
"icr024956","Itende",6,1,"Topsoil",34.19247818,-6.91006517,"Arid, steppe, hot","BSh","Arid, steppe, hot","BSh","Arid","Arid",21.9416666030884,632,1978
"icr024957","Itende",6,1,"Subsoil",34.19247818,-6.91006517,"Arid, steppe, hot","BSh","Arid, steppe, hot","BSh","Arid","Arid",21.9416666030884,632,1978
"icr024976","Itende",7,2,"Topsoil",34.19307327,-6.87918282,"Arid, steppe, hot","BSh","Arid, steppe, hot","BSh","Arid","Arid",21.9875000317891,629,1980
"icr024977","Itende",7,2,"Subsoil",34.19307327,-6.87918282,"Arid, steppe, hot","BSh","Arid, steppe, hot","BSh","Arid","Arid",21.9875000317891,629,1980
"icr024994","Itende",8,3,"Topsoil",34.19452667,-6.859828,"Tropical, savannah","Aw","Arid, steppe, hot","BSh","Tropical (seasonal)","Arid",21.8249999682109,633,1968
"icr024995","Itende",8,3,"Subsoil",34.19452667,-6.859828,"Tropical, savannah","Aw","Arid, steppe, hot","BSh","Tropical (seasonal)","Arid",21.8249999682109,633,1968
"icr030051","Dambidolo",2,6,"Topsoil",34.98833084,8.60195828,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",21.1499998966853,1357,1736
"icr030052","Dambidolo",2,6,"Subsoil",34.98833084,8.60195828,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",21.1499998966853,1357,1736
"icr030097","Dambidolo",4,8,"Topsoil",34.98268509,8.65556717,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",21.0541667540868,1354,1738
"icr030098","Dambidolo",4,8,"Subsoil",34.98268509,8.65556717,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",21.0541667540868,1354,1738
"icr030113","Dambidolo",5,7,"Topsoil",35.00011444,8.58142185,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",22.479166785876,1306,1784
"icr030114","Dambidolo",5,7,"Subsoil",35.00011444,8.58142185,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",22.479166785876,1306,1784
"icr030123","Dambidolo",6,2,"Topsoil",35.00059891,8.59928799,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",21.7166665792465,1345,1757
"icr030124","Dambidolo",6,2,"Subsoil",35.00059891,8.59928799,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",21.7166665792465,1345,1757
"icr030127","Dambidolo",6,5,"Topsoil",34.99979401,8.59832192,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",21.3999999364217,1351,1743
"icr030128","Dambidolo",6,5,"Subsoil",34.99979401,8.59832192,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",21.3999999364217,1351,1743
"icr030131","Dambidolo",6,7,"Topsoil",35.00479126,8.60511303,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",21.708333214124,1348,1758
"icr030132","Dambidolo",6,7,"Subsoil",35.00479126,8.60511303,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",21.708333214124,1348,1758
"icr030133","Dambidolo",6,8,"Topsoil",34.99936295,8.6012516,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",21.4375000794729,1349,1746
"icr030134","Dambidolo",6,8,"Subsoil",34.99936295,8.6012516,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",21.4375000794729,1349,1746
"icr030137","Dambidolo",6,10,"Topsoil",34.99982834,8.60101509,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",21.4375000794729,1349,1746
"icr030138","Dambidolo",6,10,"Subsoil",34.99982834,8.60101509,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",21.4375000794729,1349,1746
"icr030145","Dambidolo",7,2,"Topsoil",35.00531006,8.62525272,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",21.7083333333333,1341,1763
"icr030146","Dambidolo",7,2,"Subsoil",35.00531006,8.62525272,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",21.7083333333333,1341,1763
"icr030176","Dambidolo",8,8,"Topsoil",35.0014534,8.64603329,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",21.5666667222977,1349,1759
"icr030177","Dambidolo",8,8,"Subsoil",35.0014534,8.64603329,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",21.5666667222977,1349,1759
"icr030190","Dambidolo",9,12,"Topsoil",35.0256424,8.58047676,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",22.2083331743876,1336,1773
"icr030191","Dambidolo",9,12,"Subsoil",35.0256424,8.58047676,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",22.2083331743876,1336,1773
"icr030206","Dambidolo",10,5,"Topsoil",35.02694702,8.60710716,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",21.5875001351039,1362,1752
"icr030207","Dambidolo",10,5,"Subsoil",35.02694702,8.60710716,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",21.5875001351039,1362,1752
"icr030214","Dambidolo",10,9,"Topsoil",35.01977158,8.60314274,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",21.516666730245,1361,1752
"icr030215","Dambidolo",10,9,"Subsoil",35.01977158,8.60314274,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",21.516666730245,1361,1752
"icr030268","Dambidolo",13,6,"Topsoil",35.0459137,8.57730293,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",21.7250000238419,1366,1756
"icr030269","Dambidolo",13,6,"Subsoil",35.0459137,8.57730293,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",21.7250000238419,1366,1756
"icr030270","Dambidolo",13,7,"Topsoil",35.04312134,8.58223248,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",21.7250000238419,1366,1756
"icr030271","Dambidolo",13,7,"Subsoil",35.04312134,8.58223248,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",21.7250000238419,1366,1756
"icr030282","Dambidolo",14,4,"Topsoil",35.04640961,8.59956265,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",21.7208332618078,1363,1757
"icr030283","Dambidolo",14,4,"Subsoil",35.04640961,8.59956265,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",21.7208332618078,1363,1757
"icr030300","Dambidolo",15,3,"Topsoil",35.04849625,8.62188721,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",22.1708333094915,1339,1772
"icr030301","Dambidolo",15,3,"Subsoil",35.04849625,8.62188721,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",22.1708333094915,1339,1772
"icr030323","Dambidolo",16,5,"Topsoil",35.04421616,8.64572334,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",21.7249999046326,1365,1762
"icr030324","Dambidolo",16,5,"Subsoil",35.04421616,8.64572334,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",21.7249999046326,1365,1762
"icr030330","Dambidolo",16,9,"Topsoil",35.04863358,8.64678001,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",21.7249999046326,1365,1762
"icr030331","Dambidolo",16,9,"Subsoil",35.04863358,8.64678001,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",21.7249999046326,1365,1762
"icr033419","Mbalambala",5,7,"Topsoil",39.02086639,-0.155982,"Arid, desert, hot","BWh","Arid, steppe, hot","BSh","Arid","Arid",27.5291663805644,327,2172
"icr033420","Mbalambala",5,7,"Subsoil",39.02086639,-0.155982,"Arid, desert, hot","BWh","Arid, steppe, hot","BSh","Arid","Arid",27.5291663805644,327,2172
"icr033535","Mbalambala",13,6,"Topsoil",39.0616951,-0.15338799,"Arid, desert, hot","BWh","Arid, desert, hot","BWh","Arid","Arid",27.5375001430511,318,2167
"icr033536","Mbalambala",13,6,"Subsoil",39.0616951,-0.15338799,"Arid, desert, hot","BWh","Arid, desert, hot","BWh","Arid","Arid",27.5375001430511,318,2167
"icr033592","Mbalambala",16,8,"Topsoil",39.06327438,-0.089757,"Arid, desert, hot","BWh","Arid, steppe, hot","BSh","Arid","Arid",26.9750001430511,330,2090
"icr033593","Mbalambala",16,8,"Subsoil",39.06327438,-0.089757,"Arid, desert, hot","BWh","Arid, steppe, hot","BSh","Arid","Arid",26.9750001430511,330,2090
"icr033598","Mbalambala",16,14,"Topsoil",39.06158447,-0.086252,"Arid, desert, hot","BWh","Arid, steppe, hot","BSh","Arid","Arid",26.9750001430511,330,2090
"icr033599","Mbalambala",16,14,"Subsoil",39.06158447,-0.086252,"Arid, desert, hot","BWh","Arid, steppe, hot","BSh","Arid","Arid",26.9750001430511,330,2090
"icr033634","Mega",2,14,"Topsoil",38.2612915,4.17119789,"Arid, steppe, hot","BSh","Tropical, savannah","Aw","Arid","Tropical (seasonal)",20.462500055631,540,1887
"icr033635","Mega",2,14,"Subsoil",38.2612915,4.17119789,"Arid, steppe, hot","BSh","Tropical, savannah","Aw","Arid","Tropical (seasonal)",20.462500055631,540,1887
"icr033664","Mega",4,6,"Topsoil",38.26822662,4.2133522,"Arid, steppe, hot","BSh","Tropical, savannah","Aw","Arid","Tropical (seasonal)",20.8041665951411,543,1923
"icr033665","Mega",4,6,"Subsoil",38.26822662,4.2133522,"Arid, steppe, hot","BSh","Tropical, savannah","Aw","Arid","Tropical (seasonal)",20.8041665951411,543,1923
"icr033819","Mega",12,5,"Topsoil",38.3169632,4.21460199,"Arid, steppe, hot","BSh","Tropical, savannah","Aw","Arid","Tropical (seasonal)",21.0500000715256,537,1944
"icr033820","Mega",12,5,"Subsoil",38.3169632,4.21460199,"Arid, steppe, hot","BSh","Tropical, savannah","Aw","Arid","Tropical (seasonal)",21.0500000715256,537,1944
"icr037453","Finnkolo",3,1,"Topsoil",-5.534058333,11.32941667,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",27.2791670163472,1057,2280
"icr037454","Finnkolo",3,1,"Subsoil",-5.534058333,11.32941667,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",27.2791670163472,1057,2280
"icr037531","Finnkolo",7,1,"Topsoil",-5.518538333,11.32956833,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",27.1458334128062,1056,2280
"icr037532","Finnkolo",7,1,"Subsoil",-5.518538333,11.32956833,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",27.1458334128062,1056,2280
"icr037574","Finnkolo",9,5,"Topsoil",-5.486493333,11.28301667,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",26.8499999046326,1068,2271
"icr037575","Finnkolo",9,5,"Subsoil",-5.486493333,11.28301667,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",26.8499999046326,1068,2271
"icr037927","Bana",10,1,"Topsoil",10.26777667,5.25545667,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",22.987500111262,2011,1427
"icr037928","Bana",10,1,"Subsoil",10.26777667,5.25545667,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",22.987500111262,2011,1427
"icr037986","Bana",13,1,"Topsoil",10.28871167,5.233795,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",22.8833333651225,1998,1429
"icr037987","Bana",13,1,"Subsoil",10.28871167,5.233795,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",22.8833333651225,1998,1429
"icr038147","Kutaber",3,8,"Topsoil",39.57326889,11.30547237,"Temperate, dry winter, warm summer","Cwb","Temperate, dry winter, warm summer","Cwb","Temperate (seasonal)","Temperate (seasonal)",15.1666667064031,926,1719
"icr038148","Kutaber",3,8,"Subsoil",39.57326889,11.30547237,"Temperate, dry winter, warm summer","Cwb","Temperate, dry winter, warm summer","Cwb","Temperate (seasonal)","Temperate (seasonal)",15.1666667064031,926,1719
"icr038218","Kutaber",7,6,"Topsoil",39.59435272,11.30890274,"Temperate, dry winter, warm summer","Cwb","Temperate, dry winter, warm summer","Cwb","Temperate (seasonal)","Temperate (seasonal)",15.2583334644636,924,1731
"icr038219","Kutaber",7,6,"Subsoil",39.59435272,11.30890274,"Temperate, dry winter, warm summer","Cwb","Temperate, dry winter, warm summer","Cwb","Temperate (seasonal)","Temperate (seasonal)",15.2583334644636,924,1731
"icr038227","Kutaber",8,1,"Topsoil",39.59209442,11.32841492,"Temperate, dry winter, warm summer","Cwb","Temperate, dry winter, hot summer","Cwa","Temperate (seasonal)","Temperate (seasonal)",16.0874999960264,920,1775
"icr038228","Kutaber",8,1,"Subsoil",39.59209442,11.32841492,"Temperate, dry winter, warm summer","Cwb","Temperate, dry winter, hot summer","Cwa","Temperate (seasonal)","Temperate (seasonal)",16.0874999960264,920,1775
"icr038242","Kutaber",8,10,"Topsoil",39.59540176,11.33280659,"Temperate, dry winter, warm summer","Cwb","Temperate, dry winter, hot summer","Cwa","Temperate (seasonal)","Temperate (seasonal)",16.0874999960264,920,1775
"icr038243","Kutaber",8,10,"Subsoil",39.59540176,11.33280659,"Temperate, dry winter, warm summer","Cwb","Temperate, dry winter, hot summer","Cwa","Temperate (seasonal)","Temperate (seasonal)",16.0874999960264,920,1775
"icr038299","Kutaber",12,1,"Topsoil",39.61781311,11.33362484,"Temperate, dry winter, hot summer","Cwa","Tropical, savannah","Aw","Temperate (seasonal)","Tropical (seasonal)",18.449999888738,976,1870
"icr038300","Kutaber",12,1,"Subsoil",39.61781311,11.33362484,"Temperate, dry winter, hot summer","Cwa","Tropical, savannah","Aw","Temperate (seasonal)","Tropical (seasonal)",18.449999888738,976,1870
"icr038302","Kutaber",12,6,"Topsoil",39.61585617,11.33428001,"Temperate, dry winter, warm summer","Cwb","Tropical, savannah","Aw","Temperate (seasonal)","Tropical (seasonal)",17.5833332935969,960,1838
"icr038303","Kutaber",12,6,"Subsoil",39.61585617,11.33428001,"Temperate, dry winter, warm summer","Cwb","Tropical, savannah","Aw","Temperate (seasonal)","Tropical (seasonal)",17.5833332935969,960,1838
"icr041679","Marafa",3,1,"Topsoil",39.51435852,-2.62334704,"Arid, steppe, hot","BSh","Arid, steppe, hot","BSh","Arid","Arid",26.0041666030884,720,1897
"icr041680","Marafa",3,1,"Subsoil",39.51435852,-2.62334704,"Arid, steppe, hot","BSh","Arid, steppe, hot","BSh","Arid","Arid",26.0041666030884,720,1897
"icr041789","Marafa",8,6,"Topsoil",39.53932953,-2.59726691,"Arid, steppe, hot","BSh","Arid, steppe, hot","BSh","Arid","Arid",25.9875001907349,707,1900
"icr041790","Marafa",8,6,"Subsoil",39.53932953,-2.59726691,"Arid, steppe, hot","BSh","Arid, steppe, hot","BSh","Arid","Arid",25.9875001907349,707,1900
"icr041898","Marafa",14,2,"Topsoil",39.57897949,-2.64556789,"Arid, steppe, hot","BSh","Arid, steppe, hot","BSh","Arid","Arid",25.9791667461395,713,1880
"icr041899","Marafa",14,2,"Subsoil",39.57897949,-2.64556789,"Arid, steppe, hot","BSh","Arid, steppe, hot","BSh","Arid","Arid",25.9791667461395,713,1880
"icr041992","Morijo",1,4,"Topsoil",35.7769928,-1.75783205,"Temperate, dry summer, warm summer","Csb","Tropical, savannah","Aw","Temperate (seasonal)","Tropical (seasonal)",16.4166667262713,864,1582
"icr041993","Morijo",1,4,"Subsoil",35.7769928,-1.75783205,"Temperate, dry summer, warm summer","Csb","Tropical, savannah","Aw","Temperate (seasonal)","Tropical (seasonal)",16.4166667262713,864,1582
"icr042024","Morijo",3,1,"Topsoil",35.78072357,-1.70595801,"Temperate, dry summer, warm summer","Csb","Tropical, savannah","Aw","Temperate (seasonal)","Tropical (seasonal)",15.5958332618078,916,1505
"icr042025","Morijo",3,1,"Subsoil",35.78072357,-1.70595801,"Temperate, dry summer, warm summer","Csb","Tropical, savannah","Aw","Temperate (seasonal)","Tropical (seasonal)",15.5958332618078,916,1505
"icr042074","Morijo",5,9,"Topsoil",35.79964447,-1.75745797,"Temperate, dry summer, warm summer","Csb","Tropical, savannah","Aw","Temperate (seasonal)","Tropical (seasonal)",16.1791665554047,887,1557
"icr042075","Morijo",5,9,"Subsoil",35.79964447,-1.75745797,"Temperate, dry summer, warm summer","Csb","Tropical, savannah","Aw","Temperate (seasonal)","Tropical (seasonal)",16.1791665554047,887,1557
"icr042082","Morijo",6,3,"Topsoil",35.80267715,-1.72688997,"Temperate, dry summer, warm summer","Csb","Tropical, savannah","Aw","Temperate (seasonal)","Tropical (seasonal)",16.2833333412806,888,1569
"icr042083","Morijo",6,3,"Subsoil",35.80267715,-1.72688997,"Temperate, dry summer, warm summer","Csb","Tropical, savannah","Aw","Temperate (seasonal)","Tropical (seasonal)",16.2833333412806,888,1569
"icr042108","Morijo",7,7,"Topsoil",35.79957581,-1.70866501,"Temperate, dry summer, warm summer","Csb","Tropical, savannah","Aw","Temperate (seasonal)","Tropical (seasonal)",16.1083334684372,892,1545
"icr042109","Morijo",7,7,"Subsoil",35.79957581,-1.70866501,"Temperate, dry summer, warm summer","Csb","Tropical, savannah","Aw","Temperate (seasonal)","Tropical (seasonal)",16.1083334684372,892,1545
"icr042113","Morijo",7,10,"Topsoil",35.80049515,-1.70868194,"Temperate, dry summer, warm summer","Csb","Tropical, savannah","Aw","Temperate (seasonal)","Tropical (seasonal)",16.0250000158946,905,1538
"icr042114","Morijo",7,10,"Subsoil",35.80049515,-1.70868194,"Temperate, dry summer, warm summer","Csb","Tropical, savannah","Aw","Temperate (seasonal)","Tropical (seasonal)",16.0250000158946,905,1538
"icr042117","Morijo",8,2,"Topsoil",35.80121613,-1.67825699,"Temperate, dry summer, warm summer","Csb","Temperate, no dry season, warm summer","Cfb","Temperate (seasonal)","Temperate (humid)",14.0041667024295,1016,1381
"icr042118","Morijo",8,2,"Subsoil",35.80121613,-1.67825699,"Temperate, dry summer, warm summer","Csb","Temperate, no dry season, warm summer","Cfb","Temperate (seasonal)","Temperate (humid)",14.0041667024295,1016,1381
"icr042141","Morijo",9,5,"Topsoil",35.8225708,-1.75320995,"Temperate, dry summer, warm summer","Csb","Tropical, savannah","Aw","Temperate (seasonal)","Tropical (seasonal)",15.8916667699814,963,1496
"icr042142","Morijo",9,5,"Subsoil",35.8225708,-1.75320995,"Temperate, dry summer, warm summer","Csb","Tropical, savannah","Aw","Temperate (seasonal)","Tropical (seasonal)",15.8916667699814,963,1496
"icr042191","Morijo",12,2,"Topsoil",35.82104874,-1.68677199,"Temperate, dry summer, warm summer","Csb","Temperate, no dry season, warm summer","Cfb","Temperate (seasonal)","Temperate (humid)",14.5749999086062,1045,1403
"icr042192","Morijo",12,2,"Subsoil",35.82104874,-1.68677199,"Temperate, dry summer, warm summer","Csb","Temperate, no dry season, warm summer","Cfb","Temperate (seasonal)","Temperate (humid)",14.5749999086062,1045,1403
"icr042204","Morijo",12,9,"Topsoil",35.81818008,-1.68444002,"Temperate, dry summer, warm summer","Csb","Temperate, no dry season, warm summer","Cfb","Temperate (seasonal)","Temperate (humid)",14.5749999086062,1045,1403
"icr042205","Morijo",12,9,"Subsoil",35.81818008,-1.68444002,"Temperate, dry summer, warm summer","Csb","Temperate, no dry season, warm summer","Cfb","Temperate (seasonal)","Temperate (humid)",14.5749999086062,1045,1403
"icr042239","Morijo",14,7,"Topsoil",35.84237671,-1.73143196,"Temperate, dry summer, warm summer","Csb","Tropical, savannah","Aw","Temperate (seasonal)","Tropical (seasonal)",16.2624999682109,912,1532
"icr042240","Morijo",14,7,"Subsoil",35.84237671,-1.73143196,"Temperate, dry summer, warm summer","Csb","Tropical, savannah","Aw","Temperate (seasonal)","Tropical (seasonal)",16.2624999682109,912,1532
"icr042241","Morijo",14,8,"Topsoil",35.84387589,-1.733603,"Temperate, no dry season, warm summer","Cfb","Tropical, savannah","Aw","Temperate (humid)","Tropical (seasonal)",16.0833334525426,985,1488
"icr042242","Morijo",14,8,"Subsoil",35.84387589,-1.733603,"Temperate, no dry season, warm summer","Cfb","Tropical, savannah","Aw","Temperate (humid)","Tropical (seasonal)",16.0833334525426,985,1488
"icr042245","Morijo",14,10,"Topsoil",35.83790207,-1.730443,"Temperate, dry summer, warm summer","Csb","Tropical, savannah","Aw","Temperate (seasonal)","Tropical (seasonal)",16.2833332220713,914,1537
"icr042246","Morijo",14,10,"Subsoil",35.83790207,-1.730443,"Temperate, dry summer, warm summer","Csb","Tropical, savannah","Aw","Temperate (seasonal)","Tropical (seasonal)",16.2833332220713,914,1537
