SSN,Depth,Country,data_14c
icr020877,Subsoil,Tanzania,FALSE
icr020879,Subsoil,Tanzania,FALSE
icr020882,Topsoil,Tanzania,FALSE
icr020888,Topsoil,Tanzania,TRUE
icr020889,Subsoil,Tanzania,TRUE
icr020895,Subsoil,Tanzania,FALSE
icr020900,Topsoil,Tanzania,FALSE
icr020903,Subsoil,Tanzania,FALSE
icr020904,Topsoil,Tanzania,FALSE
icr020907,Subsoil,Tanzania,FALSE
icr020909,Subsoil,Tanzania,TRUE
icr020910,Topsoil,Tanzania,FALSE
icr020912,Topsoil,Tanzania,FALSE
icr020913,Subsoil,Tanzania,FALSE
icr020914,Topsoil,Tanzania,FALSE
icr020915,Subsoil,Tanzania,FALSE
icr020917,Subsoil,Tanzania,FALSE
icr020918,Topsoil,Tanzania,FALSE
icr020922,Topsoil,Tanzania,FALSE
icr020924,Subsoil,Tanzania,FALSE
icr020926,Subsoil,Tanzania,FALSE
icr020929,Topsoil,Tanzania,FALSE
icr020930,Subsoil,Tanzania,FALSE
icr020932,Subsoil,Tanzania,FALSE
icr020933,Topsoil,Tanzania,FALSE
icr020934,Subsoil,Tanzania,FALSE
icr020939,Topsoil,Tanzania,FALSE
icr020940,Subsoil,Tanzania,FALSE
icr020941,Topsoil,Tanzania,FALSE
icr020942,Subsoil,Tanzania,FALSE
icr020943,Topsoil,Tanzania,FALSE
icr020947,Topsoil,Tanzania,FALSE
icr020949,Topsoil,Tanzania,FALSE
icr020950,Subsoil,Tanzania,FALSE
icr020951,Topsoil,Tanzania,FALSE
icr020952,Subsoil,Tanzania,FALSE
icr020955,Topsoil,Tanzania,FALSE
icr020956,Subsoil,Tanzania,FALSE
icr020957,Topsoil,Tanzania,FALSE
icr020958,Subsoil,Tanzania,FALSE
icr020960,Subsoil,Tanzania,FALSE
icr020965,Subsoil,Tanzania,FALSE
icr020966,Topsoil,Tanzania,FALSE
icr020967,Subsoil,Tanzania,FALSE
icr020968,Topsoil,Tanzania,FALSE
icr020969,Subsoil,Tanzania,FALSE
icr020970,Topsoil,Tanzania,TRUE
icr020971,Subsoil,Tanzania,TRUE
icr020972,Topsoil,Tanzania,FALSE
icr020973,Subsoil,Tanzania,FALSE
icr020974,Topsoil,Tanzania,FALSE
icr020975,Subsoil,Tanzania,FALSE
icr020976,Topsoil,Tanzania,FALSE
icr020977,Subsoil,Tanzania,FALSE
icr020978,Topsoil,Tanzania,FALSE
icr020981,Subsoil,Tanzania,FALSE
icr020982,Topsoil,Tanzania,FALSE
icr020983,Subsoil,Tanzania,FALSE
icr020984,Topsoil,Tanzania,FALSE
icr020985,Subsoil,Tanzania,FALSE
icr020986,Topsoil,Tanzania,FALSE
icr020989,Subsoil,Tanzania,FALSE
icr020990,Topsoil,Tanzania,FALSE
icr020991,Topsoil,Tanzania,FALSE
icr020992,Subsoil,Tanzania,FALSE
icr020993,Topsoil,Tanzania,FALSE
icr020994,Subsoil,Tanzania,FALSE
icr020995,Topsoil,Tanzania,FALSE
icr020998,Topsoil,Tanzania,FALSE
icr020999,Subsoil,Tanzania,FALSE
icr021002,Topsoil,Tanzania,FALSE
icr021003,Subsoil,Tanzania,FALSE
icr021005,Subsoil,Tanzania,FALSE
icr021006,Topsoil,Tanzania,FALSE
icr021007,Subsoil,Tanzania,FALSE
icr021008,Topsoil,Tanzania,FALSE
icr021010,Subsoil,Tanzania,FALSE
icr021013,Topsoil,Tanzania,FALSE
icr021014,Subsoil,Tanzania,FALSE
icr021015,Topsoil,Tanzania,FALSE
icr021016,Subsoil,Tanzania,FALSE
icr021022,Subsoil,Tanzania,FALSE
icr021028,Subsoil,Tanzania,FALSE
icr021031,Topsoil,Tanzania,FALSE
icr021032,Subsoil,Tanzania,FALSE
icr021033,Topsoil,Tanzania,FALSE
icr021034,Subsoil,Tanzania,FALSE
icr021035,Topsoil,Tanzania,FALSE
icr021038,Subsoil,Tanzania,FALSE
icr021041,Topsoil,Tanzania,FALSE
icr021045,Topsoil,Tanzania,FALSE
icr021046,Subsoil,Tanzania,FALSE
icr021051,Topsoil,Tanzania,FALSE
icr021052,Subsoil,Tanzania,FALSE
icr021056,Subsoil,Tanzania,FALSE
icr021057,Topsoil,Tanzania,FALSE
icr021058,Subsoil,Tanzania,FALSE
icr021060,Subsoil,Tanzania,FALSE
icr021062,Subsoil,Tanzania,FALSE
icr021063,Topsoil,Tanzania,TRUE
icr021064,Subsoil,Tanzania,TRUE
icr021065,Topsoil,Tanzania,FALSE
icr021066,Subsoil,Tanzania,FALSE
icr021077,Topsoil,Tanzania,FALSE
icr021081,Topsoil,Tanzania,FALSE
icr021082,Subsoil,Tanzania,FALSE
icr021084,Subsoil,Tanzania,FALSE
icr021085,Topsoil,Tanzania,FALSE
icr021086,Subsoil,Tanzania,FALSE
icr021090,Subsoil,Tanzania,FALSE
icr021095,Topsoil,Tanzania,FALSE
icr021099,Topsoil,Tanzania,FALSE
icr021101,Topsoil,Tanzania,FALSE
icr021102,Subsoil,Tanzania,FALSE
icr021103,Topsoil,Tanzania,TRUE
icr021104,Subsoil,Tanzania,TRUE
icr021106,Subsoil,Tanzania,FALSE
icr021111,Topsoil,Tanzania,FALSE
icr021112,Subsoil,Tanzania,FALSE
icr021118,Subsoil,Tanzania,FALSE
icr021121,Topsoil,Tanzania,FALSE
icr021123,Topsoil,Tanzania,FALSE
icr021127,Topsoil,Tanzania,FALSE
icr021129,Subsoil,Tanzania,FALSE
icr021131,Subsoil,Tanzania,FALSE
icr021132,Topsoil,Tanzania,FALSE
icr021133,Topsoil,Tanzania,FALSE
icr021134,Subsoil,Tanzania,FALSE
icr021136,Subsoil,Tanzania,FALSE
icr021139,Topsoil,Tanzania,FALSE
icr021143,Topsoil,Tanzania,FALSE
icr021144,Topsoil,Tanzania,FALSE
icr021145,Topsoil,Tanzania,FALSE
icr021147,Topsoil,Tanzania,FALSE
icr021152,Topsoil,Tanzania,FALSE
icr021153,Subsoil,Tanzania,FALSE
icr021155,Subsoil,Tanzania,FALSE
icr024866,Topsoil,Tanzania,FALSE
icr024869,Subsoil,Tanzania,FALSE
icr024876,Topsoil,Tanzania,FALSE
icr024877,Subsoil,Tanzania,FALSE
icr024882,Subsoil,Tanzania,FALSE
icr024883,Topsoil,Tanzania,FALSE
icr024884,Subsoil,Tanzania,FALSE
icr024885,Topsoil,Tanzania,FALSE
icr024887,Topsoil,Tanzania,FALSE
icr024889,Topsoil,Tanzania,FALSE
icr024894,Subsoil,Tanzania,FALSE
icr024901,Topsoil,Tanzania,FALSE
icr024994,Topsoil,Tanzania,TRUE
icr025016,Topsoil,Tanzania,FALSE
icr024918,Subsoil,Tanzania,FALSE
icr024928,Subsoil,Tanzania,FALSE
icr024930,Subsoil,Tanzania,FALSE
icr024931,Topsoil,Tanzania,FALSE
icr024932,Subsoil,Tanzania,FALSE
icr024934,Subsoil,Tanzania,FALSE
icr024935,Topsoil,Tanzania,FALSE
icr024936,Subsoil,Tanzania,FALSE
icr024950,Subsoil,Tanzania,FALSE
icr024956,Topsoil,Tanzania,TRUE
icr024957,Subsoil,Tanzania,TRUE
icr024959,Subsoil,Tanzania,FALSE
icr024960,Topsoil,Tanzania,FALSE
icr024961,Subsoil,Tanzania,FALSE
icr024963,Subsoil,Tanzania,FALSE
icr024969,Subsoil,Tanzania,FALSE
icr024973,Subsoil,Tanzania,FALSE
icr024974,Topsoil,Tanzania,FALSE
icr024975,Topsoil,Tanzania,FALSE
icr024976,Topsoil,Tanzania,TRUE
icr024977,Subsoil,Tanzania,TRUE
icr024979,Subsoil,Tanzania,FALSE
icr024980,Topsoil,Tanzania,FALSE
icr024981,Subsoil,Tanzania,FALSE
icr024982,Topsoil,Tanzania,FALSE
icr024985,Topsoil,Tanzania,FALSE
icr024986,Subsoil,Tanzania,FALSE
icr024987,Topsoil,Tanzania,FALSE
icr024988,Topsoil,Tanzania,FALSE
icr024990,Topsoil,Tanzania,FALSE
icr024991,Subsoil,Tanzania,FALSE
icr024992,Topsoil,Tanzania,FALSE
icr024993,Topsoil,Tanzania,FALSE
icr024995,Subsoil,Tanzania,TRUE
icr024999,Topsoil,Tanzania,FALSE
icr025000,Topsoil,Tanzania,FALSE
icr025001,Topsoil,Tanzania,FALSE
icr025002,Subsoil,Tanzania,FALSE
icr025003,Topsoil,Tanzania,FALSE
icr025006,Topsoil,Tanzania,FALSE
icr025008,Topsoil,Tanzania,FALSE
icr025011,Subsoil,Tanzania,FALSE
icr025019,Subsoil,Tanzania,FALSE
icr025020,Topsoil,Tanzania,FALSE
icr025021,Subsoil,Tanzania,FALSE
icr025023,Subsoil,Tanzania,FALSE
icr025024,Topsoil,Tanzania,FALSE
icr025026,Topsoil,Tanzania,FALSE
icr025029,Subsoil,Tanzania,FALSE
icr025039,Subsoil,Tanzania,FALSE
icr025040,Topsoil,Tanzania,FALSE
icr025041,Subsoil,Tanzania,FALSE
icr025047,Topsoil,Tanzania,FALSE
icr025049,Topsoil,Tanzania,FALSE
icr025050,Subsoil,Tanzania,FALSE
icr025054,Subsoil,Tanzania,FALSE
icr025056,Subsoil,Tanzania,FALSE
icr025060,Subsoil,Tanzania,FALSE
icr025061,Topsoil,Tanzania,FALSE
icr025062,Subsoil,Tanzania,FALSE
icr025063,Topsoil,Tanzania,FALSE
icr025065,Topsoil,Tanzania,FALSE
icr025066,Subsoil,Tanzania,FALSE
icr025068,Subsoil,Tanzania,FALSE
icr025071,Topsoil,Tanzania,FALSE
icr025072,Topsoil,Tanzania,FALSE
icr025077,Subsoil,Tanzania,FALSE
icr025078,Topsoil,Tanzania,FALSE
icr025080,Subsoil,Tanzania,FALSE
icr025082,Subsoil,Tanzania,FALSE
icr025085,Topsoil,Tanzania,FALSE
icr025087,Topsoil,Tanzania,FALSE
icr025089,Subsoil,Tanzania,FALSE
icr025094,Topsoil,Tanzania,FALSE
icr025096,Topsoil,Tanzania,FALSE
icr025097,Topsoil,Tanzania,FALSE
icr025030,Topsoil,Tanzania,FALSE
icr025102,Subsoil,Tanzania,FALSE
icr025105,Topsoil,Tanzania,FALSE
icr025106,Subsoil,Tanzania,FALSE
icr025109,Topsoil,Tanzania,FALSE
icr025110,Subsoil,Tanzania,FALSE
icr025112,Subsoil,Tanzania,FALSE
icr025116,Subsoil,Tanzania,FALSE
icr025121,Subsoil,Tanzania,FALSE
icr025129,Topsoil,Tanzania,FALSE
icr025130,Topsoil,Tanzania,FALSE
icr025132,Topsoil,Tanzania,FALSE
icr025133,Topsoil,Tanzania,FALSE
icr025137,Topsoil,Tanzania,FALSE
icr025138,Topsoil,Tanzania,FALSE
icr025140,Subsoil,Tanzania,FALSE
icr030027,Subsoil,Ethiopia,FALSE
icr030033,Topsoil,Ethiopia,FALSE
icr030036,Subsoil,Ethiopia,FALSE
icr030037,Topsoil,Ethiopia,FALSE
icr030039,Topsoil,Ethiopia,FALSE
icr030042,Subsoil,Ethiopia,FALSE
icr030043,Topsoil,Ethiopia,FALSE
icr030052,Subsoil,Ethiopia,TRUE
icr030055,Topsoil,Ethiopia,FALSE
icr030063,Topsoil,Ethiopia,FALSE
icr030082,Subsoil,Ethiopia,FALSE
icr030083,Topsoil,Ethiopia,FALSE
icr030088,Subsoil,Ethiopia,FALSE
icr030113,Topsoil,Ethiopia,TRUE
icr030114,Subsoil,Ethiopia,TRUE
icr030118,Subsoil,Ethiopia,FALSE
icr030119,Topsoil,Ethiopia,FALSE
icr030124,Subsoil,Ethiopia,TRUE
icr030126,Subsoil,Ethiopia,FALSE
icr030127,Topsoil,Ethiopia,TRUE
icr030128,Subsoil,Ethiopia,TRUE
icr030129,Topsoil,Ethiopia,FALSE
icr030131,Topsoil,Ethiopia,TRUE
icr030132,Subsoil,Ethiopia,TRUE
icr030133,Topsoil,Ethiopia,TRUE
icr030134,Subsoil,Ethiopia,TRUE
icr030137,Topsoil,Ethiopia,TRUE
icr030138,Subsoil,Ethiopia,TRUE
icr030139,Topsoil,Ethiopia,FALSE
icr030144,Subsoil,Ethiopia,FALSE
icr030145,Topsoil,Ethiopia,TRUE
icr030146,Subsoil,Ethiopia,TRUE
icr030148,Subsoil,Ethiopia,FALSE
icr030150,Subsoil,Ethiopia,FALSE
icr030155,Topsoil,Ethiopia,FALSE
icr030156,Subsoil,Ethiopia,FALSE
icr030160,Subsoil,Ethiopia,FALSE
icr030162,Subsoil,Ethiopia,FALSE
icr030168,Subsoil,Ethiopia,FALSE
icr030169,Topsoil,Ethiopia,FALSE
icr030170,Subsoil,Ethiopia,FALSE
icr030174,Topsoil,Ethiopia,FALSE
icr030176,Topsoil,Ethiopia,TRUE
icr030179,Subsoil,Ethiopia,FALSE
icr030181,Topsoil,Ethiopia,FALSE
icr030185,Topsoil,Ethiopia,FALSE
icr030187,Subsoil,Ethiopia,FALSE
icr030190,Topsoil,Ethiopia,TRUE
icr030191,Subsoil,Ethiopia,TRUE
icr030192,Topsoil,Ethiopia,FALSE
icr030195,Subsoil,Ethiopia,FALSE
icr030196,Topsoil,Ethiopia,FALSE
icr030203,Subsoil,Ethiopia,FALSE
icr030206,Topsoil,Ethiopia,TRUE
icr030207,Subsoil,Ethiopia,TRUE
icr030209,Subsoil,Ethiopia,FALSE
icr030211,Subsoil,Ethiopia,FALSE
icr030215,Subsoil,Ethiopia,TRUE
icr030225,Subsoil,Ethiopia,FALSE
icr030227,Subsoil,Ethiopia,FALSE
icr030231,Subsoil,Ethiopia,FALSE
icr030234,Topsoil,Ethiopia,FALSE
icr030237,Subsoil,Ethiopia,FALSE
icr030242,Topsoil,Ethiopia,FALSE
icr030243,Subsoil,Ethiopia,FALSE
icr030244,Topsoil,Ethiopia,FALSE
icr030251,Subsoil,Ethiopia,FALSE
icr030257,Subsoil,Ethiopia,FALSE
icr030260,Topsoil,Ethiopia,FALSE
icr030265,Subsoil,Ethiopia,FALSE
icr030268,Topsoil,Ethiopia,TRUE
icr030269,Subsoil,Ethiopia,TRUE
icr030270,Topsoil,Ethiopia,TRUE
icr030271,Subsoil,Ethiopia,TRUE
icr030273,Subsoil,Ethiopia,FALSE
icr030277,Subsoil,Ethiopia,FALSE
icr030279,Subsoil,Ethiopia,FALSE
icr030282,Topsoil,Ethiopia,TRUE
icr030283,Subsoil,Ethiopia,TRUE
icr030288,Topsoil,Ethiopia,FALSE
icr030291,Subsoil,Ethiopia,FALSE
icr030295,Subsoil,Ethiopia,FALSE
icr030299,Subsoil,Ethiopia,FALSE
icr030300,Topsoil,Ethiopia,TRUE
icr030301,Subsoil,Ethiopia,TRUE
icr030303,Subsoil,Ethiopia,FALSE
icr030304,Topsoil,Ethiopia,FALSE
icr030305,Subsoil,Ethiopia,FALSE
icr030309,Subsoil,Ethiopia,FALSE
icr030310,Topsoil,Ethiopia,FALSE
icr030313,Subsoil,Ethiopia,FALSE
icr030315,Subsoil,Ethiopia,FALSE
icr030319,Subsoil,Ethiopia,FALSE
icr030321,Subsoil,Ethiopia,FALSE
icr030323,Topsoil,Ethiopia,TRUE
icr030324,Subsoil,Ethiopia,TRUE
icr030325,Topsoil,Ethiopia,FALSE
icr030326,Topsoil,Ethiopia,FALSE
icr030328,Topsoil,Ethiopia,FALSE
icr030329,Subsoil,Ethiopia,FALSE
icr030330,Topsoil,Ethiopia,TRUE
icr030331,Subsoil,Ethiopia,TRUE
icr030332,Topsoil,Ethiopia,FALSE
icr030334,Topsoil,Ethiopia,FALSE
icr030338,Subsoil,Ethiopia,FALSE
icr030342,Subsoil,Ethiopia,FALSE
icr030345,Topsoil,Ethiopia,FALSE
icr030346,Topsoil,Ethiopia,FALSE
icr030361,Subsoil,Ethiopia,FALSE
icr030365,Subsoil,Ethiopia,FALSE
icr030366,Topsoil,Ethiopia,FALSE
icr030369,Topsoil,Ethiopia,FALSE
icr030370,Topsoil,Ethiopia,FALSE
icr030371,Subsoil,Ethiopia,FALSE
icr030372,Topsoil,Ethiopia,FALSE
icr030373,Subsoil,Ethiopia,FALSE
icr030375,Topsoil,Ethiopia,FALSE
icr030379,Topsoil,Ethiopia,FALSE
icr030381,Topsoil,Ethiopia,FALSE
icr030382,Subsoil,Ethiopia,FALSE
icr030383,Topsoil,Ethiopia,FALSE
icr030386,Topsoil,Ethiopia,FALSE
icr030397,Topsoil,Ethiopia,FALSE
icr030407,Topsoil,Ethiopia,FALSE
icr030408,Subsoil,Ethiopia,FALSE
icr030409,Topsoil,Ethiopia,FALSE
icr030411,Topsoil,Ethiopia,FALSE
icr030419,Topsoil,Ethiopia,FALSE
icr030420,Topsoil,Ethiopia,FALSE
icr030422,Topsoil,Ethiopia,FALSE
icr030424,Topsoil,Ethiopia,FALSE
icr030425,Topsoil,Ethiopia,FALSE
icr030427,Topsoil,Ethiopia,FALSE
icr030428,Topsoil,Ethiopia,FALSE
icr030432,Topsoil,Ethiopia,FALSE
icr030434,Topsoil,Ethiopia,FALSE
icr030435,Topsoil,Ethiopia,FALSE
icr030475,Subsoil,Ethiopia,FALSE
icr030480,Topsoil,Ethiopia,FALSE
icr030481,Subsoil,Ethiopia,FALSE
icr030485,Subsoil,Ethiopia,FALSE
icr030486,Topsoil,Ethiopia,FALSE
icr030488,Subsoil,Ethiopia,FALSE
icr030489,Topsoil,Ethiopia,FALSE
icr030490,Subsoil,Ethiopia,FALSE
icr030492,Subsoil,Ethiopia,FALSE
icr030493,Topsoil,Ethiopia,FALSE
icr030495,Subsoil,Ethiopia,FALSE
icr030513,Topsoil,Ethiopia,FALSE
icr030514,Subsoil,Ethiopia,FALSE
icr030529,Topsoil,Ethiopia,FALSE
icr030547,Topsoil,Ethiopia,FALSE
icr030555,Topsoil,Ethiopia,FALSE
icr030588,Subsoil,Ethiopia,FALSE
icr033353,Topsoil,Kenya,FALSE
icr033358,Subsoil,Kenya,FALSE
icr033360,Subsoil,Kenya,FALSE
icr033374,Subsoil,Kenya,FALSE
icr033379,Topsoil,Kenya,FALSE
icr033381,Topsoil,Kenya,FALSE
icr033391,Topsoil,Kenya,FALSE
icr033393,Subsoil,Kenya,FALSE
icr033394,Topsoil,Kenya,FALSE
icr033395,Topsoil,Kenya,FALSE
icr033396,Topsoil,Kenya,FALSE
icr033398,Topsoil,Kenya,FALSE
icr033399,Subsoil,Kenya,FALSE
icr033400,Topsoil,Kenya,FALSE
icr033402,Topsoil,Kenya,FALSE
icr033403,Subsoil,Kenya,FALSE
icr033404,Topsoil,Kenya,FALSE
icr033405,Subsoil,Kenya,FALSE
icr033406,Topsoil,Kenya,FALSE
icr033408,Subsoil,Kenya,FALSE
icr033410,Subsoil,Kenya,FALSE
icr033411,Topsoil,Kenya,FALSE
icr033414,Subsoil,Kenya,FALSE
icr033415,Topsoil,Kenya,FALSE
icr033416,Subsoil,Kenya,FALSE
icr033417,Topsoil,Kenya,FALSE
icr033419,Topsoil,Kenya,TRUE
icr033420,Subsoil,Kenya,TRUE
icr033430,Subsoil,Kenya,FALSE
icr033434,Subsoil,Kenya,FALSE
icr033444,Subsoil,Kenya,FALSE
icr033447,Topsoil,Kenya,FALSE
icr033450,Subsoil,Kenya,FALSE
icr033451,Topsoil,Kenya,FALSE
icr033452,Topsoil,Kenya,FALSE
icr033453,Subsoil,Kenya,FALSE
icr033455,Subsoil,Kenya,FALSE
icr033457,Subsoil,Kenya,FALSE
icr033459,Subsoil,Kenya,FALSE
icr033465,Subsoil,Kenya,FALSE
icr033467,Subsoil,Kenya,FALSE
icr033469,Subsoil,Kenya,FALSE
icr033470,Topsoil,Kenya,FALSE
icr033471,Subsoil,Kenya,FALSE
icr033472,Topsoil,Kenya,FALSE
icr033473,Subsoil,Kenya,FALSE
icr033474,Topsoil,Kenya,FALSE
icr033475,Subsoil,Kenya,FALSE
icr033476,Topsoil,Kenya,FALSE
icr033477,Subsoil,Kenya,FALSE
icr033481,Subsoil,Kenya,FALSE
icr033482,Topsoil,Kenya,FALSE
icr033483,Subsoil,Kenya,FALSE
icr033485,Subsoil,Kenya,FALSE
icr033494,Topsoil,Kenya,FALSE
icr033503,Subsoil,Kenya,FALSE
icr033508,Topsoil,Kenya,FALSE
icr033509,Topsoil,Kenya,FALSE
icr033510,Subsoil,Kenya,FALSE
icr033511,Topsoil,Kenya,FALSE
icr033513,Topsoil,Kenya,FALSE
icr033516,Subsoil,Kenya,FALSE
icr033518,Subsoil,Kenya,FALSE
icr033519,Topsoil,Kenya,FALSE
icr033520,Subsoil,Kenya,FALSE
icr033521,Topsoil,Kenya,FALSE
icr033522,Subsoil,Kenya,FALSE
icr033523,Topsoil,Kenya,FALSE
icr033524,Subsoil,Kenya,FALSE
icr033527,Topsoil,Kenya,FALSE
icr033528,Subsoil,Kenya,FALSE
icr033529,Topsoil,Kenya,FALSE
icr033530,Subsoil,Kenya,FALSE
icr033531,Topsoil,Kenya,FALSE
icr033532,Subsoil,Kenya,FALSE
icr033533,Topsoil,Kenya,FALSE
icr033535,Topsoil,Kenya,TRUE
icr033536,Subsoil,Kenya,TRUE
icr033542,Subsoil,Kenya,FALSE
icr033545,Topsoil,Kenya,FALSE
icr033550,Subsoil,Kenya,FALSE
icr033551,Topsoil,Kenya,FALSE
icr033553,Topsoil,Kenya,FALSE
icr033554,Subsoil,Kenya,FALSE
icr033555,Topsoil,Kenya,FALSE
icr033557,Topsoil,Kenya,FALSE
icr033558,Subsoil,Kenya,FALSE
icr033559,Topsoil,Kenya,FALSE
icr033560,Subsoil,Kenya,FALSE
icr033561,Topsoil,Kenya,FALSE
icr033567,Subsoil,Kenya,FALSE
icr033568,Topsoil,Kenya,FALSE
icr033569,Subsoil,Kenya,FALSE
icr033570,Topsoil,Kenya,FALSE
icr033571,Topsoil,Kenya,FALSE
icr033572,Topsoil,Kenya,FALSE
icr033573,Subsoil,Kenya,FALSE
icr033575,Subsoil,Kenya,FALSE
icr033577,Subsoil,Kenya,FALSE
icr033584,Topsoil,Kenya,FALSE
icr033588,Topsoil,Kenya,FALSE
icr033592,Topsoil,Kenya,TRUE
icr033594,Topsoil,Kenya,FALSE
icr033595,Subsoil,Kenya,FALSE
icr033597,Subsoil,Kenya,FALSE
icr033598,Topsoil,Kenya,TRUE
icr033599,Subsoil,Kenya,TRUE
icr033602,Topsoil,Ethiopia,FALSE
icr033603,Subsoil,Ethiopia,FALSE
icr033605,Subsoil,Ethiopia,FALSE
icr033611,Subsoil,Ethiopia,FALSE
icr033616,Topsoil,Ethiopia,FALSE
icr033618,Topsoil,Ethiopia,FALSE
icr033619,Topsoil,Ethiopia,FALSE
icr033622,Subsoil,Ethiopia,FALSE
icr033624,Subsoil,Ethiopia,FALSE
icr033625,Topsoil,Ethiopia,FALSE
icr033626,Subsoil,Ethiopia,FALSE
icr033627,Topsoil,Ethiopia,FALSE
icr033630,Subsoil,Ethiopia,FALSE
icr033631,Topsoil,Ethiopia,FALSE
icr033632,Topsoil,Ethiopia,FALSE
icr033633,Subsoil,Ethiopia,FALSE
icr033634,Topsoil,Ethiopia,TRUE
icr033635,Subsoil,Ethiopia,TRUE
icr033636,Topsoil,Ethiopia,FALSE
icr033637,Topsoil,Ethiopia,FALSE
icr033638,Subsoil,Ethiopia,FALSE
icr033640,Subsoil,Ethiopia,FALSE
icr033643,Topsoil,Ethiopia,FALSE
icr033644,Topsoil,Ethiopia,FALSE
icr033646,Topsoil,Ethiopia,FALSE
icr033648,Topsoil,Ethiopia,FALSE
