SSN,Site,Cluster,Plot,Depth,Longitude,Latitude
icr062238,Didy,6,2,Subsoil,48.7092,-18.3233
icr062241,Didy,6,4,Topsoil,48.7156,-18.3228
icr062242,Didy,6,4,Subsoil,48.7156,-18.3228
icr062243,Didy,6,5,Topsoil,48.7144,-18.3216
icr062244,Didy,6,5,Subsoil,48.7144,-18.3216
icr062247,Didy,6,7,Topsoil,48.7119,-18.317
icr062248,Didy,6,7,Subsoil,48.7119,-18.317
icr062249,Didy,6,8,Topsoil,48.7139,-18.3219
icr062250,Didy,6,8,Subsoil,48.7139,-18.3219
icr062251,Didy,6,9,Topsoil,48.7118,-18.3216
icr062252,Didy,6,9,Subsoil,48.7118,-18.3216
icr062253,Didy,6,10,Topsoil,48.7157,-18.318
icr062254,Didy,6,10,Subsoil,48.7157,-18.318
icr062259,Didy,7,3,Topsoil,48.7147,-18.2955
icr062260,Didy,7,3,Subsoil,48.7147,-18.2955
icr062261,Didy,7,4,Topsoil,48.7112,-18.2946
icr062262,Didy,7,4,Subsoil,48.7112,-18.2946
icr062263,Didy,7,5,Topsoil,48.7105,-18.2959
icr062264,Didy,7,5,Subsoil,48.7105,-18.2959
icr062265,Didy,7,6,Topsoil,48.7069,-18.2948
icr062266,Didy,7,6,Subsoil,48.7069,-18.2948
icr062281,Didy,8,5,Topsoil,48.7098,-18.2787
icr062282,Didy,8,5,Subsoil,48.7098,-18.2787
icr062287,Didy,8,8,Topsoil,48.711,-18.2751
icr062288,Didy,8,8,Subsoil,48.711,-18.2751
icr062294,Didy,9,1,Topsoil,48.7392,-18.349
icr062295,Didy,9,1,Subsoil,48.7392,-18.349
icr062296,Didy,9,2,Topsoil,48.7347,-18.3434
icr062297,Didy,9,2,Subsoil,48.7347,-18.3434
icr062298,Didy,9,3,Topsoil,48.7403,-18.3477
icr062299,Didy,9,3,Subsoil,48.7403,-18.3477
icr062302,Didy,9,5,Topsoil,48.7331,-18.3427
icr062303,Didy,9,5,Subsoil,48.7331,-18.3427
icr062306,Didy,9,7,Topsoil,48.7353,-18.3491
icr062307,Didy,9,7,Subsoil,48.7353,-18.3491
icr062308,Didy,9,8,Topsoil,48.7346,-18.3483
icr062309,Didy,9,8,Subsoil,48.7346,-18.3483
icr062312,Didy,9,10,Topsoil,48.7391,-18.3409
icr062313,Didy,9,10,Subsoil,48.7391,-18.3409
icr062316,Didy,10,2,Topsoil,48.7354,-18.32
icr062317,Didy,10,2,Subsoil,48.7354,-18.32
icr062318,Didy,10,3,Topsoil,48.7376,-18.3213
icr062319,Didy,10,3,Subsoil,48.7376,-18.3213
icr062320,Didy,10,7,Topsoil,48.738,-18.3232
icr062321,Didy,10,7,Subsoil,48.738,-18.3232
icr062322,Didy,10,8,Topsoil,48.7375,-18.3185
icr062323,Didy,10,8,Subsoil,48.7375,-18.3185
icr062324,Didy,10,9,Topsoil,48.7358,-18.3188
icr062325,Didy,10,9,Subsoil,48.7358,-18.3188
icr062336,Didy,11,2,Topsoil,48.7418,-18.297
icr062337,Didy,11,2,Subsoil,48.7418,-18.297
icr062339,Didy,11,4,Topsoil,48.7365,-18.2977
icr062340,Didy,11,4,Subsoil,48.7365,-18.2977
icr062351,Didy,11,10,Topsoil,48.736,-18.3009
icr062352,Didy,11,10,Subsoil,48.736,-18.3009
icr062353,Didy,12,1,Topsoil,48.7363,-18.2763
icr062354,Didy,12,1,Subsoil,48.7363,-18.2763
icr062355,Didy,12,2,Topsoil,48.7349,-18.2724
icr062356,Didy,12,2,Subsoil,48.7349,-18.2724
icr062357,Didy,12,3,Topsoil,48.7321,-18.2748
icr062358,Didy,12,3,Subsoil,48.7321,-18.2748
icr062359,Didy,12,4,Topsoil,48.7372,-18.2749
icr062360,Didy,12,4,Subsoil,48.7372,-18.2749
icr062365,Didy,12,7,Topsoil,48.7338,-18.2715
icr062366,Didy,12,7,Subsoil,48.7338,-18.2715
icr062369,Didy,12,9,Topsoil,48.7336,-18.2716
icr062370,Didy,12,9,Subsoil,48.7336,-18.2716
icr062381,Didy,13,5,Topsoil,48.7638,-18.3392
icr062382,Didy,13,5,Subsoil,48.7638,-18.3392
icr062383,Didy,13,6,Topsoil,48.7624,-18.338
icr062384,Didy,13,6,Subsoil,48.7624,-18.338
icr062387,Didy,13,8,Topsoil,48.7613,-18.3395
icr062388,Didy,13,8,Subsoil,48.7613,-18.3395
icr062391,Didy,13,10,Topsoil,48.7611,-18.3433
icr062392,Didy,13,10,Subsoil,48.7611,-18.3433
icr062393,Didy,14,1,Topsoil,48.7623,-18.3122
icr062394,Didy,14,1,Subsoil,48.7623,-18.3122
icr062399,Didy,14,4,Topsoil,48.7582,-18.3182
icr062400,Didy,14,4,Subsoil,48.7582,-18.3182
icr062403,Didy,14,6,Topsoil,48.7584,-18.3086
icr062404,Didy,14,6,Subsoil,48.7584,-18.3086
icr062405,Didy,14,7,Topsoil,48.7611,-18.3128
icr062406,Didy,14,7,Subsoil,48.7611,-18.3128
icr062407,Didy,14,8,Topsoil,48.7602,-18.3164
icr062408,Didy,14,8,Subsoil,48.7602,-18.3164
icr062409,Didy,14,9,Topsoil,48.7614,-18.3162
icr062410,Didy,14,9,Subsoil,48.7614,-18.3162
icr062411,Didy,14,10,Topsoil,48.7614,-18.3125
icr062412,Didy,14,10,Subsoil,48.7614,-18.3125
icr062415,Didy,15,2,Topsoil,48.7488,-18.3018
icr062416,Didy,15,2,Subsoil,48.7488,-18.3018
icr062417,Didy,15,3,Topsoil,48.7572,-18.3024
icr062418,Didy,15,3,Subsoil,48.7572,-18.3024
icr062421,Didy,15,5,Topsoil,48.7573,-18.303
icr062422,Didy,15,5,Subsoil,48.7573,-18.303
icr062427,Didy,15,8,Topsoil,48.7506,-18.2992
icr062428,Didy,15,8,Subsoil,48.7506,-18.2992
icr062431,Didy,15,10,Topsoil,48.7535,-18.2949
icr062432,Didy,15,10,Subsoil,48.7535,-18.2949
icr062435,Didy,16,2,Topsoil,48.7581,-18.2736
icr062436,Didy,16,2,Subsoil,48.7581,-18.2736
icr062437,Didy,16,3,Topsoil,48.7558,-18.2809
icr062438,Didy,16,3,Subsoil,48.7558,-18.2809
icr062439,Didy,16,4,Topsoil,48.7579,-18.2813
icr062440,Didy,16,4,Subsoil,48.7579,-18.2813
icr062443,Didy,16,7,Topsoil,48.763,-18.2765
icr062444,Didy,16,7,Subsoil,48.763,-18.2765
icr062451,Didy,16,11,Topsoil,48.763,-18.2754
icr062452,Didy,16,11,Subsoil,48.763,-18.2754
icr068131,Nyalagari,2,7,Topsoil,1.735128333,13.393575
icr068132,Nyalagari,2,7,Subsoil,1.735128333,13.393575
icr068149,Nyalagari,3,6,Topsoil,1.731593333,13.418405
icr068150,Nyalagari,3,6,Subsoil,1.731593333,13.418405
icr068161,Nyalagari,4,2,Topsoil,1.738738333,13.43555333
icr068162,Nyalagari,4,2,Subsoil,1.738738333,13.43555333
icr068221,Nyalagari,7,2,Topsoil,1.754711667,13.41339833
icr068222,Nyalagari,7,2,Subsoil,1.754711667,13.41339833
icr068279,Nyalagari,10,1,Topsoil,1.77919,13.38991667
icr068280,Nyalagari,10,1,Subsoil,1.77919,13.38991667
icr068321,Nyalagari,12,2,Topsoil,1.777961667,13.43786
icr068322,Nyalagari,12,2,Subsoil,1.777961667,13.43786
icr068339,Nyalagari,13,1,Topsoil,1.804516667,13.37199833
icr068340,Nyalagari,13,1,Subsoil,1.804516667,13.37199833
icr068361,Nyalagari,14,2,Topsoil,1.798298333,13.38568167
icr068362,Nyalagari,14,2,Subsoil,1.798298333,13.38568167
icr068381,Nyalagari,15,2,Topsoil,1.802671667,13.404805
icr068382,Nyalagari,15,2,Subsoil,1.802671667,13.404805
icr068399,Nyalagari,16,1,Topsoil,1.799123333,13.43122
icr068400,Nyalagari,16,1,Subsoil,1.799123333,13.43122
icr068419,Pampaida,1,3,Topsoil,8.123596667,11.28078
icr068420,Pampaida,1,3,Subsoil,8.123596667,11.28078
icr068499,Pampaida,5,1,Topsoil,8.145926667,11.29146167
icr068500,Pampaida,5,1,Subsoil,8.145926667,11.29146167
icr068521,Pampaida,6,2,Topsoil,8.148253333,11.31266
icr068522,Pampaida,6,2,Subsoil,8.148253333,11.31266
icr068539,Pampaida,7,1,Topsoil,8.150375,11.33524167
icr068540,Pampaida,7,1,Subsoil,8.150375,11.33524167
icr068579,Pampaida,9,1,Topsoil,8.166768333,11.28065833
icr068580,Pampaida,9,1,Subsoil,8.166768333,11.28065833
icr068677,Pampaida,14,1,Topsoil,8.19152,11.30931667
icr068678,Pampaida,14,1,Subsoil,8.19152,11.30931667
icr068717,Pampaida,16,1,Topsoil,8.194856667,11.34667
icr068718,Pampaida,16,1,Subsoil,8.194856667,11.34667
icr070124,Kutigi,2,2,Topsoil,5.671851667,9.191568333
icr070125,Kutigi,2,2,Subsoil,5.671851667,9.191568333
icr070262,Kutigi,9,4,Topsoil,5.711345,9.17576
icr070263,Kutigi,9,4,Subsoil,5.711345,9.17576
icr070370,Kutigi,15,3,Topsoil,5.73423,9.217246667
icr070371,Kutigi,15,3,Subsoil,5.73423,9.217246667
icr072246,Sanza Pompo,1,1,Topsoil,15.68749167,-7.37775
icr072247,Sanza Pompo,1,1,Subsoil,15.68749167,-7.37775
icr072286,Sanza Pompo,3,1,Topsoil,15.687965,-7.331673333
icr072287,Sanza Pompo,3,1,Subsoil,15.687965,-7.331673333
icr072365,Sanza Pompo,7,1,Topsoil,15.71909667,-7.340811667
icr072366,Sanza Pompo,7,1,Subsoil,15.71909667,-7.340811667
icr072425,Sanza Pompo,10,1,Topsoil,15.73790167,-7.361311667
icr072426,Sanza Pompo,10,1,Subsoil,15.73790167,-7.361311667
icr072596,Mucope,1,1,Topsoil,14.883505,-16.26941333
icr072597,Mucope,1,1,Subsoil,14.883505,-16.26941333
icr072716,Mucope,7,1,Topsoil,14.89889,-16.225095
icr072717,Mucope,7,1,Subsoil,14.89889,-16.225095
icr072756,Mucope,9,1,Topsoil,14.930115,-16.26354667
icr072757,Mucope,9,1,Subsoil,14.930115,-16.26354667
icr072816,Mucope,12,1,Topsoil,14.92257333,-16.203565
icr072817,Mucope,12,1,Subsoil,14.92257333,-16.203565
icr072836,Mucope,13,1,Topsoil,14.958435,-16.268775
icr072837,Mucope,13,1,Subsoil,14.958435,-16.268775
icr072896,Mucope,16,1,Topsoil,14.95128667,-16.20006
icr072897,Mucope,16,1,Subsoil,14.95128667,-16.20006
icr072968,Bimbe,2,1,Topsoil,15.87774167,-11.75044833
icr072969,Bimbe,2,1,Subsoil,15.87774167,-11.75044833
